link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
548,SPAN 301,SPAN 301 Introduction to Literature and Film,,,,,"SPAN 260, SPAN 261",
549,SPAN 304,SPAN 304 The Art of Fiction,,,,,"SPAN 260, SPAN 261",
550,SPAN 306,SPAN 306 Performance from Street to Stage,,SPAN 305,,,"SPAN 260, SPAN 261",
551,SPAN 308,SPAN 308 The Art of Poetry,,,,,"SPAN 260, SPAN 261",
552,SPAN 372,SPAN 372 Modern and Contemporary Latin American Fiction,,,,"SPAN 308, SPAN 306, SPAN 304",,
553,SPAN 385,SPAN 385 The Culture of Food in Hispanic Los Angeles,,,,,"SPAN 260, SPAN 261",
554,SPAN 462,"SPAN 462 Literary Cartographies of Latin America and Spain , 1810â€“1898",,,,"SPAN 308, SPAN 306, SPAN 304",,
555,SPAN 481,SPAN 481 Literature and Popular Culture,,,,"SPAN 308, SPAN 306, SPAN 304",,
556,SPAN 482,SPAN 482 Literature and the City,,,,"SPAN 308, SPAN 306, SPAN 304",,
557,SPAN 483,SPAN 483 Gender and Sexuality,,,,"SPAN 308, SPAN 306, SPAN 304",,
558,SPAN 484,SPAN 484 Studies in Visual and Material Culture,,,,"SPAN 260, SPAN 261",,
559,SPAN 320,"SPAN 320 Politics , Thought , Society",,"SPAN 370, SPAN 360",,,"SPAN 260, SPAN 261",
560,SPAN 302,SPAN 302 Screen Cultures : From Film to the Internet,,,,,"SPAN 260, SPAN 261, SPAN 301",
561,SPAN 321,"SPAN 321 Sounds , Images , Objects",,"SPAN 370, SPAN 360",,,"SPAN 260, SPAN 261",
562,SPAN 466,"SPAN 466 Argentina , Society and the Arts",,,,"SPAN 260, SPAN 261",,
563,DANC 105,DANC 105 Dance Science : Analysis of Dance Movement,,,,,DANC 103,
564,DANC 131,DANC 131 Improvisation and Composition II : Introduction,,,,,DANC 130,
565,DANC 201,DANC 201 Colloquium : History of Performance and Cultural Context,,,,,DANC 101,
566,DANC 210,DANC 210 Dance Technique II,,,,,DANC 110,
567,DANC 220,DANC 220 Repertory and Performance II,,,,,DANC 120,
568,DANC 230,DANC 230 Improvisation and Composition III : Intermediate,,,,,DANC 131,
569,DANC 231,DANC 231 Improvisation and Composition IV : Intermediate,,,,,DANC 230,
570,DANC 301,DANC 301 Colloquium : The Role of the Dance Artist in Society,,,,,DANC 201,
571,DANC 310,DANC 310 Dance Technique III,,,,,DANC 210,
572,DANC 320,DANC 320 Repertory and Performance III,,,,,DANC 220,
573,DANC 342,DANC 342g International and Historical Perspectives on Dance,,DANC 442,,,,
574,DANC 485,DANC 485 Advanced Performance Studies : Senior Project,,,,,DANC 480,
575,DANC 410,DANC 410 Dance Technique IV,,,,,DANC 310,
576,DANC 420,DANC 420 Repertory and Performance IV,,,,,DANC 320,
577,DANC 285,DANC 285 Elements of Dance Production,,THTR 285,,,,
578,DANC 312,DANC 312gw African American Dance,,DANC 412,,,,
579,DANC 330,DANC 330 Composition I : Advanced,,,,,DANC 231,
580,DANC 430,DANC 430 Composition II : Upper Level,,,,,DANC 330,
581,DANC 442,DANC 442 International and Historical Perspectives on Dance II,,DANC 442,,,DANC 342,
582,DES 102,DES 102 Design Fundamentals,,FADN 102,,,,"csr00855, csr01656, csr01260, csr01392, udc00076"
583,DES 202,DES 202 Design II,,FADN 202,"FADN 203, DES 203",,"FADN 102, DES 102",
584,DES 203,DES 203 Digital Tools for Design,,FADN 203,DES 202,,,"csr00542, csr00385, csr01932"
585,DES 213,DES 213 Digital Tools in 3D Design,,,,,"FADN 203, DES 230, DES 203",
586,DES 230,DES 230 3D Design : Materials and Tools,ACAD 230,FADN 230,,,"ACAD 176, FADN 102, DES 102",
587,DES 302,DES 302 Design III,,FADN 302,,,"FADN 202, DES 202",
588,DES 303,DES 303 Web Design,ACAD 303,FADN 303,,,"ACAD 177, FADN 203, DES 203","csr00635, csr00346, csr00621, csr00679, csr01961, csr01961, csr00608, csr01474, csr02361, udc00076"
589,DES 322,DES 322 Publication Design,,,,,"FADN 203, FADN 202, DES 332, DES 203, DES 202",
590,DES 323,DES 323g Design Theory,ACAD 323,FADN 323,,,,
591,DES 332,DES 332a Typography,ACAD 332,FADN 332,,,,"csr00856, csr01657"
592,DES 402,DES 402 Advanced Design Projects,,FADN 402,,,"FADN 302, DES 302","khn00639, khn00649, khn00659, khn00669, khn00679, khn00689, khn00699, khn00709"
593,DES 413,DES 413 Professional Practice in Design,,,,,"DES 402, FADN 402",
594,DES 432,DES 432 Special Projects in Design,,FADN 432,,,"FADN 302, DES 302","khn00639, khn00649, khn00659, khn00669, khn00679, khn00689, khn00699, khn00709"
595,GEOL 315,GEOL 315 L Minerals and Earth Systems,,,,"CHEM 105, CHEM 115",,
596,EALC 344,EALC 344gp Korean Culture from Ancient to Modern Times,,,,HIST 105,,
597,EALC 306,Advanced Modern Chinese II,,,,,EALC 304,
598,EALC 317,Advanced Korean II,,,,,EALC 315,
599,EALC 322,Advanced Japanese II,,,,,EALC 320,
600,EALC 426,Classical Japanese,,,,,EALC 322,
601,EALC 470,Introduction to East Asian Linguistics,,,,,"EALC 406, EALC 417, EALC 424",
602,EALC 366,EALC 366 Chinese Professional Internship : Communication and Culture,,,,,EALC 206,
603,EALC 404,Advanced Modern Chinese III,,,,,EALC 306,
604,EALC 407,EALC 407 News and Web Chinese,,,,,EALC 404,"csr00729, csr01753, csr01778, csr02557, csr02558, csr02556"
605,EALC 412,Business Chinese,,,,,EALC 306,"csr02557, csr02558, csr02556"
606,EALC 413,EALC 413 Business Japanese,,,,,EALC 322,
607,EALC 418,Korean Writing in Mixed Script,,,,,EALC 217,
608,EALC 419,Newspaper and Documentary Korean,,,,,EALC 217,
609,EALC 422,Advanced Japanese III,,,,,EALC 322,
610,EALC 424,Advanced Japanese IV,,,,,EALC 422,
611,CHEM 350,CHEM 350g Molecular Principles of Biochemistry,,,,,"CHEM 322, CHEM 325, CHEM 115, BISC 221, BISC 220, CHEM 105",
612,EE 250,EE 250L Distributed Systems for the Internet of Things,,,,,"EE 109, EE 155","csr02096, csr01225, csr01269, csr00742, csr00735, csr00782, csr00902, csr01232, csr00432, csr01184"
613,EE 301,EE 301 L Linear Systems,,,,,EE 202,
614,EE 330,Electromagnetics I,,,,,"PHYS 152, EE 202, MATH 445",
615,EE 355,EE 355x Software Design for Electrical Engineers,,CSCI 355,,,EE 155,
616,EE 422,EE 422 x Electromagnetic Systems Design,,,,,EE 330,
617,EE 423,EE 423Lx Loudspeaker and Sound-System Design,,,,,"PHYS 152, AME 302, EE 330, EE 301",
618,EE 434,EE 434 Lx Digital Signal Processing Design Laboratory,,,,,EE 483,csr01145
619,EE 447,EE 447 Lx Mixed Signal Electronic Circuits,,,,,EE 348,
620,EE 484,EE 484 x Communication System Design,,,,,"EE 475, EE 364, EE 467",
621,ENE 410,ENE 410 Environmental Fluid Mechanics,,"CE 309, AME 309",,,MATH 245,
622,CE 484,Water Treatment Design,,,,,CE 451,
623,ENST 335,"ENST 335 Science , Health and the Environment",,,,,"BISC 103, BISC 120",
624,POSC 270,POSC 270 Introduction to Environmental Law and Politics,,POSC 347,,,ENST 100,
625,ENST 344,ENST 344 Environmental Ethics,,,,,"ENST 100, ENST 150","csr00123, csr00246"
626,ENST 442,Global Climate Change : Policy and Society,,,,,"POSC 270, ENST 320",
627,ENST 445,"ENST 445 Earth Climate : Past , Present , and Future",,,,,"MATH 118, MATH 125, ENST 320",
628,ENST 480,Integrated Ecosystem Management in Micronesia,,,ENST 298,,,
629,GEOL 470,GEOL 470L Environmental Hydrogeology,,,,"GEOL 160, GEOL 105",,
630,BISC 427,BISC 427 The Global Environment,,,,,"CHEM 105, CHEM 115, BISC 120, BISC 121",
631,GEOL 425,GEOL 425 L Data Analysis in the Earth and Environmental Sciences,,,,MATH 126,,
632,GEOL 450,GEOL 450 L Geosystems,,,,,"MATH 125, MATH 126",
633,PPD 382,PPD 382 International Development,,PLDV 405,,,,
634,BISC 352,BISC 352 Conservation Biology,,,,"BISC 103, BISC 120, BISC 121",,
635,ENST 310,ENST 310 Sustainable Fisheries Management,,,,,ENST 100,
636,ENST 370,Marine and Coastal Environmental Policy,,,,"ENST 387, ENST 100",,
637,BISC 315,BISC 315 L Introduction to Ecology,,,,,"BISC 120, BISC 121",
638,BISC 447,BISC 447 L Island Biogeography and Field Ecology,,,,,"BISC 120, BISC 121",
639,BISC 469,BISC 469L Marine Biology,,,,,"BISC 103, BISC 120, BISC 121",
640,MOR 466,MOR 466 Business and Environmental Sustainability,,ENST 450,,,,
641,FREN 250,French IV,,,,,FREN 220,
642,FREN 300,French Grammar and Composition,,,,,FREN 250,
643,FREN 330,Critical Writing in French,,,,,FREN 300,
644,FREN 310,Media French,,,,,FREN 250,
645,FREN 347,"FREN 347 Race , Gender and Power in Francophone Literature",,,FREN 330,,,
646,FREN 351,Introduction to Research in French and Francophone Cultures,,,FREN 330,,,
647,FREN 360,Business and Technical French,,,,FREN 330,,
648,FREN 382,Paris Avant-Gardes,,,FREN 330,,FREN 330,
649,FREN 383,FREN 383 French Women Writers,,,FREN 330,,,
650,FREN 392,FREN 392 Seminar in Literary and Cultural Studies,,,FREN 330,,,
651,FREN 401,FREN 401 Studies in Early Modernity,,,,,FREN 330,
652,FREN 402,FREN 402 Studies in Modernity,,,,,FREN 330,
653,FREN 403,FREN 403 Studies in Colonialism and Postcolonialism,,,,,FREN 330,
654,FREN 404,Studies in an Author,,,,,FREN 330,
655,FREN 410,ActualitÃ©s FranÃ§aises,,,,FREN 330,,
656,FREN 432,French Theatre,,,,,FREN 330,
657,FREN 445,"FREN 445 Studies in Gender , Feminism and Sexuality",,,,,FREN 330,
658,FREN 446,FREN 446 Contemporary French Thought,,,,,FREN 330,
659,FREN 448,FREN 448m France and Islam,,,,,"REL 137, FREN 330",
660,FREN 449,Studies in French Civilization,,,,FREN 300,,
661,FREN 464,FREN 464 Colloquium : French Civilization,,,,,FREN 330,
662,FREN 499,FREN 499 Special Topics,,,,,FREN 330,
663,SWMS 210,SWMS 210gmw Social Analysis of Gender,"POSC 210, PSYC 210",,,,,
664,MATH 114,MATH 114x Foundations of Statistics,,,,MATH 040,,"udc00167, udc00121, csr00849, csr01568"
665,ARCH 303,Principles of Spatial Design I,,,,,ARCH 203,"csr00861, csr00884, csr02017"
666,ARCH 403,Principles of Spatial Design II,,,,,ARCH 303,
667,RED 417,RED 417 History of Planning and Development,,PPD 417,,,"PPD 227, PPD 245",
668,RED 425,RED 425 Designing Livable Communities,,PPD 425,,,"PPD 227, PPD 245",
669,SSCI 412,SSCI 412L GeoDesign Practicum,,,,,"SSCI 483, SOCI 314, PPD 425, ARCH 403",csr01336
670,ARCH 447,ARCH 447 Ecological Factors in Design,,ARCH 361,,,,
671,PPD 361,"PPD 361 Sustainable Communities , Policy and Planning",,PPD 461,,,,"csr00672, csr00770"
672,PPD 360,PPD 360 Urban Transportation Planning and Policy,,PLDV 480,,,,
673,PPD 306,"PPD 306 Visual Methods in Policy , Management , Planning and Development",,PLDV 410,,,,
674,GEOL 387,GEOL 387ag Undergraduate Team Research,,GEOL 385,,,,
675,GEOL 465,GEOL 465L Field Geology,,,,"GEOL 315, GEOL 316, GEOL 320, GEOL 105",,
676,HP 320,Biological and Behavioral Basis of Disease,,,,,"BISC 221, BISC 220",
677,HP 470,Case Studies in Global Health,,,,,HP 270,
678,HP 350,HP 350 L Health Behavior Research Methods,,,,HP 340,,"csr00848, csr01567, csr01059, csr01662, csr01736, csr01115"
679,HP 490,HP 490x Directed Research,,,,"HP 340, HP 350",,csr01115
680,HP 300,Theoretical Principles of Health Behavior,,,,,"PSYC 100, HP 200",
681,HP 365,"HP 365gmw Culture , Lifestyle , and Health",,HP 400,,,,
682,HP 401,Cultural Competence in Medicine,,,,ANTH 101,,
683,HP 402,Maternal and Child Health,,,,PSYC 100,,
684,HP 403,Behavioral Medicine,,,,,PSYC 100,
685,HP 410,Issues in Prevention and Cessation of Drug Abuse,,,,HP 300,,
686,HP 411,Drug Intervention Program Design and Evaluation,,,,HP 410,,
687,HP 430,Obesity and Health,,,,HP 230,,
688,HP 431,Behavior and Education Strategies for Nutrition and Fitness,,,,HP 430,,
689,HP 432,Clinical Nutrition,,,,,"HP 230, CHEM 105",
690,HP 433,Advanced Topics in Nutrition,,,,,HP 432,
691,HP 434,Physical Activity and Health,,,,HP 200,,
692,HP 440,"Happiness , Well-Being , and Health",,,,"PSYC 100, HP 200",,
693,HP 442,Chronic Disease Epidemiology,,,,HP 320,,
694,SOCI 460,SOCI 460 Key Issues in Contemporary International Migration,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
695,SOCI 470,SOCI 470 Social Change in Low-Income Countries,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
696,ANTH 325,Global Studies Research Methods,,,,ANTH 205,,
697,ANTH 415,Global Studies Senior Seminar,,,,"ANTH 325, ANTH 205",,
698,HIST 180,HIST 180gw The Middle East,MDES 180,,,,,
699,PSYC 367,"PSYC 367g Stress , Health , and the Mind-Body Connection",,,,,PSYC 100,
700,PSYC 361,Introduction to Clinical Psychology,,,,,PSYC 100,
701,SOCI 360,"SOCI 360m Social Inequality : Class , Status , and Power",,,,,"SOCI 200, SOCI 314",
702,GERO 320,GERO 320g Psychology of Adult Development,,,,PSYC 100,,
703,HBIO 301,HBIO 301L Human Anatomy,,EXSC 301,,,,
704,HBIO 302,HBIO 302L Nutrition and Metabolism,,EXSC 200,,,"BISC 221, BISC 220",
705,BISC 450,BISC 450 L Principles of Immunology,,,,,"BISC 221, BISC 220",
706,BISC 307,BISC 307 L General Physiology,,,,,"BISC 221, BISC 220",
707,HBIO 420,HBIO 420L Applied Human Physiology,,EXSC 405,,,BISC 220,
708,SOCI 450,SOCI 450 Non-Governmental Organizations/Non-profits Field Practicum,,,,,"SOCI 314, SOCI 313, SOCI 250",
709,BISC 312,BISC 312x Molecular Biochemistry,,,,"BISC 221, BISC 220",,
710,BISC 406,BISC 406 L Biotechnology,,,,,"BISC 325, BISC 320, BISC 313","csr01655, csr02317"
711,PSYC 337,PSYC 337 L Adult Development and Aging,,,,,PSYC 100,
712,PSYC 355,Social Psychology,,,,,PSYC 100,udc00164
713,SOCI 305,SOCI 305m Sociology of Childhood,,,,,"SOCI 200, SOCI 370, SOCI 270",
714,SOCI 369,SOCI 369 The Family in a Changing Society,SWMS 369,,,,SOCI 200,
715,SSCI 340,SSCI 340 Community Health Scan,,MDA 350,,,,
716,POSC 333,POSC 333 Stigma and Society : Physical Disability in America,,POSC 233,,,,
717,PSYC 404,PSYC 404 L Psychophysiology of Emotion,,,,,"PSYC 274, PSYC 100, PSYC 314",
718,BISC 290,BISC 290 Introduction to Biological Research,,,,,"CHEM 115, BISC 221, BISC 220, CHEM 105, BISC 120, BISC 121",
719,PPD 325,PPD 325 Fundamentals of Health Policy and Management,,PPD 230,,,,csr01392
720,PPD 330,PPD 330 Introduction to Health Care Systems,,PPMT 330,,,,
721,PSYC 437,Adolescent Development,,,,,PSYC 100,
722,SOCI 350,"SOCI 350 Social Exclusion , Social Power , and Deviance",,,,,SOCI 200,
723,HIST 201,HIST 201 Approaches to History,,HIST 300,,,,
724,HIST 383,HIST 383 The Modern Middle East,,HIST 280,,,,
725,HBIO 350,HBIO 350 Nutrition and Homeostasis,,EXSC 350,,,"BISC 312, HBIO 302, CHEM 350, BISC 330",
726,HBIO 360,HBIO 360 Nutrition and Disease,,,,,"BISC 221, BISC 220",
727,HBIO 407,HBIO 407L Endocrinology and Metabolism,,EXSC 406,,,HBIO 302,
728,HBIO 408,HBIO 408L Biomechanics,,EXSC 408,,,"MATH 108, PHYS 135",
729,BISC 313,BISC 313 L Evolution and Population Genetics,,,,,"BISC 325, BISC 320, BISC 221, BISC 220, BISC 120, BISC 121",
730,HBIO 202,HBIO 202Lg Nutrition for Life,,EXSC 202,,,,
731,HBIO 250,HBIO 250g The Pharmacology of Performance Enhancing Drugs,,EXSC 250,,,,
732,HBIO 320,HBIO 320 Muscle Physiology,,EXSC 300,,,BISC 220,
733,HBIO 400,HBIO 400L Motor Control and Learning,,EXSC 400,,,HBIO 320,
734,HBIO 401,HBIO 401 Physiology and Biomechanics of Movement,,EXSC 401,,,BISC 220,
735,HBIO 441,HBIO 441L Prevention of Athletic Injuries,,EXSC 441,,,HBIO 301,
736,BISC 423,BISC 423 Epilepsy to Ecstasy : Biological Basis of Neurological Disorders,NEUR 423,,,,BISC 421,
737,HBIO 409,HBIO 409 Metabolic Diseases,,EXSC 409,,,BISC 220,
738,HBIO 435,HBIO 435 Neurobiology of Feeding Behavior and Obesity,,,,,"BISC 220, HBIO 302",
739,HBIO 439,HBIO 439L Human Performance and Bioenergetics,,EXSC 439,,,HBIO 408,
740,HBIO 442,HBIO 442L Evaluation and Rehabilitation of Athletic Injuries,,EXSC 442,,,HBIO 301,
741,GERO 440,GERO 440 Biodemography of Aging,,,,,"BISC 113, BISC 112, BISC 120, BISC 121",
742,GERO 414,Neurobiology of Aging,,,,,"BISC 221, BISC 220",
743,BISC 480,Developmental Biology,,,,,"BISC 221, BISC 220",
744,HBIO 205,HBIO 205Lgx The Science of Sport,,EXSC 205,,,,
745,ISE 220,Probability Concepts in Engineering,,,,,MATH 126,"khn00877, khn00897, khn00927, khn00937, khn00947, khn00881, khn00901, khn00911, khn00871, khn00891"
746,ISE 225,Engineering Statistics I,,,,,ISE 220,"udc00167, csr01562"
747,ISE 315,ISE 315L Engineering Project Management,,,,,"ISE 330, ISE 225","csr01638, csr00965, csr02534, csr00300, csr01498, csr01619, csr01620"
748,ISE 330,Introduction to Operations Research : Deterministic Models,,,,,MATH 225,
749,ISE 331,Introduction to Operations Research : Stochastic Models,,,,,"ISE 220, ISE 330",
750,ISE 410,ISE 410 Planning and Scheduling,,,,,ISE 330,"csr00313, csr00502"
751,ISE 435,Discrete Systems Simulation,,,,,"CSCI 101, ISE 225",
752,ISE 495,ISE 495a x Senior Design Project,,,,,"ISE 460, DSO 435, ISE 382, ISE 225",
753,DSO 435,DSO 435 Enterprise Data Architecture,,IOM 435,,,,
754,ISE 335,ISE 335L Supply Chain Design,,,,,"ISE 460, ISE 330","csr00660, csr00320, csr00318, csr00319, csr00316, csr00317, csr00458"
755,ISE 375,ISE 375L Facilities Design,,,,,"ISE 460, ISE 331",
756,ISE 426,Statistical Quality Control,,,,,ISE 225,
757,ISE 232,ISE 232 L Manufacturing Processes,,,,"CHEM 105, CHEM 115, MASC 110",,csr01131
758,ISE 327,ISE 327 Six Sigma and Lean Operations,,,,,ISE 225,"csr00134, csr01508, csr02450"
759,ISE 350,ISE 350 Principles of Systems Engineering,,,,,ISE 225,csr01634
760,ITP 482,ITP 482 Engineering Database Applications,,,,,"DSO 435, ISE 382, CSCI 101",
761,ITP 487,ITP 487 Data Warehouses,,,,,"ITP 320, ITP 250","csr00137, csr01376, csr00069, csr01363"
762,INF 250,INF 250 Introduction to Data Informatics,,,,ITP 115,,"csr02570, csr00027, csr01312, csr01531, udc00182, csr00351, csr02503, csr00122, csr00335, udc00133"
763,ITP 421,ITP 421 x Advanced Programming for Enterprise Information Systems,,,,,ITP 320,
764,ITP 422,ITP 422L Configuring Enterprise Resource Planning Systems,,ITP 322,,,"ISE 583, ITP 320",
765,ITP 454,"ITP 454x Enterprise Resource Planning , Design , and Implementation",,,,,ITP 320,
766,ITP 486,ITP 486 Securing and Auditing Enterprise Resource Planning Systems,,,,,ITP 320,"csr01167, csr01979, csr01979, csr02107"
767,ITP 488,ITP 488 Managing Supply Chains with Advanced Planning & Optimization,,,,,ITP 320,
768,ITP 300,ITP 300 Database Web Development,ACAD 300,,,,ITP 301,csr00632
769,ITP 301,ITP 301L Interactive Web Development,,,,,ITP 104,csr00632
770,ITP 302,ITP 302 Advanced Web Publishing,,,,,ITP 104,
771,ITP 310,ITP 310 Design for User Experience,ACAD 311,,,,,"csr00874, csr00864, csr00887"
772,ITP 404,ITP 404 Modern Technologies of Web Development,ACAD 404,,,,"ITP 301, ACAD 275",csr00632
773,ITP 460,ITP 460 Web Application Project,ACAD 460,,,,,
774,INF 351,INF 351 Foundations of Data Management,,,,,"INF 250, ITP 115","csr01917, udc00004, csr00028, csr01313, csr01532, csr00131, csr02397"
775,INF 352,INF 352 Applied Machine Learning and Data Mining,,,,,"MATH 208, INF 250","csr00035, csr01745, csr02157, csr00172, csr02028, csr00109, csr00959, csr00030, csr01315, csr01534"
776,INF 454,INF 454 Data Visualization and User Interface Design,,,,,INF 250,"csr01341, csr01959, csr01959, udc00182, udc00106, csr00874, csr00091, csr00021, csr00281, udc00193"
777,CTIN 101,CTIN 101 Fundamentals of Procedural Media,,CTIN 400,,,,
778,CTAN 443,CTAN 443 L Character Development for 3-D Animation and Games,,,,,CTAN 452,"csr01692, csr02213, csr01927"
779,CTIN 403,CTIN 403 L Advanced Visual Design for Games,,,,,"CTIN 401, CTAN 443",
780,CTIN 485,CTIN 485 L Advanced Game Development,,,,,"CTIN 488, CTIN 489, CTIN 483, CTIN 484","csr00872, csr02237, csr01963, csr01963, csr01297, csr02036, csr00868, csr02233, csr00871, csr02236"
781,IML 346,IML 346 Methods in Digital Research,,,,,"IML 201, IML 104","csr01736, csr00848, csr01567"
782,CTIN 462,CTIN 462 Critical Theory and Analysis of Games,,,,CTIN 488,,
783,CTWR 410,CTWR 410 L Character Development and Storytelling for Games,,,,CTIN 488,,"csr01692, csr01927, csr02213"
784,CTIN 459,CTIN 459 L Game Industry Workshop,,,,,"CTIN 488, CTIN 489",
785,CTIN 491,CTIN 491L Advanced Game Project I,,CTIN 491,,,"ART 442, CTIN 404, CTAN 452, CTIN 406, CTIN 484, FASC 436",csr02143
786,IR 403,Transnational Diplomacy and Global Security,,,,IR 303,,
787,SOCI 435,SOCI 435m Women in Society,SWMS 435,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
788,SOCI 445,SOCI 445 Political and Social Theory,,,,,SOCI 250,
789,IR 428,IR 428 China's Political Economy,,,,IR 210,,
790,ECON 338,ECON 338 Political Economy and Social Issues,,ECON 121,,,ECON 205,
791,ECON 450,International Trade,,,,,ECON 303,
792,ECON 452,International Finance,,,,,ECON 305,
793,SPAN 350,SPAN 350 Cultural Cross-Currents of the Iberian Middle Ages,,"SPAN 450, SPAN 377",,"SPAN 308, SPAN 306, SPAN 304",,
794,ECON 342,Economic Development of the Middle East,,,,,"ECON 205, ECON 203, ECON 303",
795,ECON 343,Economic Development of East Asia,,,,,"ECON 205, ECON 203",
796,ECON 317,Introduction to Statistics for Economists,,,,,"MATH 118, MATH 125",
797,BUAD 215,BUAD 215x Foundations of Business Finance,,BUAD 306,,,"BUAD 305, BUAD 285, BUAD 280, ACCT 410","csr00964, csr02533, csr01338"
798,FBE 431,Financial Policies and Corporate Governance,,,,,"BUAD 306, BUAD 215",
799,FBE 432,Corporate Financial Strategy,,,,,"BUAD 306, BUAD 215","csr02208, csr01864, csr01038"
800,FBE 436,Financial Management of Multinational Corporations,,,,,"BUAD 306, BUAD 215",
801,FBE 440,Trading and Exchanges,,,,,"BUAD 306, BUAD 215",
802,FBE 443,Introduction to Forecasting and Risk Analysis,,,,,"BUAD 306, BUAD 310, BUAD 215",
803,FBE 445,Topics in Economic Analysis of Business Strategy and Policy,,,,,"BUAD 350, BUAD 351, ECON 351, ECON 352",
804,FBE 460,"Mergers , Acquisitions and Restructuring",,,,,"BUAD 306, BUAD 215",
805,FBE 462,"FBE 462 International Trade , Finance and Commercial Policy",,,,,"ECON 205, ECON 352, ECON 351, ECON 203",
806,MKT 402,MKT 402 Research Skills for Marketing Insights,,MKT 470,,,"MKT 385, PSYC 274, COMM 301, BUAD 307, BUAD 310, MATH 116",
807,MKT 405,MKT 405 Advertising and Promotion Management,,,,,"BUAD 307, COMM 302, COMM 200, PR 340, MKT 385",udc00201
808,MKT 410,MKT 410 Professional Selling,,,,,"BUAD 307, MKT 385",
809,MKT 440,Marketing Analysis and Strategy,,,,,"BUAD 307, MKT 385","csr01085, csr01850, csr01051"
810,MKT 445,New Product Development and Branding,,,,,"BUAD 307, MKT 385","csr02307, csr01861"
811,MOR 462,Management Consulting,,,,BUAD 304,,
812,MOR 463,Organization Change and Development,,,,BUAD 304,,csr00786
813,MOR 467,MOR 467 Strategic Management of Innovation,ACAD 467,,,,,"csr02137, csr02092, csr00705, csr01413, csr02125, csr02209"
814,MOR 470,Global Leadership,,,,BUAD 304,,
815,MOR 471,Managing and Developing People,,,,BUAD 304,,
816,MOR 473,Designing and Leading Teams,,,,BUAD 304,,
817,ECON 350,The World Economy,,,,,"ECON 205, ECON 203",
818,ECON 305,Intermediate Macroeconomic Theory,,,,,"ECON 205, MATH 118, MATH 125, ECON 203",
819,ECON 340,Economics of Less Developed Countries,,,,,"ECON 205, ECON 203",
820,ECON 344,Economic Development of Sub-Saharan Africa,,,,,"ECON 205, ECON 203",
821,ECON 346,Economics of Transition and Development : China,,,,,"ECON 205, ECON 203",
822,ITAL 150,Italian II,,,,,ITAL 120,
823,ITAL 220,Italian III,,,,,ITAL 150,
824,ITAL 224,Italian Composition and Conversation,,,,,ITAL 220,
825,ITAL 320,Critical Writing in Italian,,,,,ITAL 224,
826,ITAL 360,ITAL 360 Italian Cinema,,ITAL 446,,,,
827,ITAL 380,Italian Women Writers,,,,ITAL 320,,
828,ITAL 381,ITAL 381 Storytelling in the Italian Tradition,,ITAL 462,,,,
829,ITAL 382,ITAL 382g Dante,COLT 449,ITAL 450,,,,
830,ITAL 401,ITAL 401 Studies in Early Modernity,,,,,ITAL 320,
831,ITAL 402,ITAL 402 Studies in Modernity,,,,,ITAL 320,
832,ITAL 403,ITAL 403 Studies in Colonialism and Postcolonialism,,,,,ITAL 320,
833,ITAL 440,Futurism and Fascism in Italy,,,,ITAL 320,,
834,ITAL 461,Italian Theatre,,,,,ITAL 320,
835,ITAL 499,ITAL 499 Special Topics,,,,,ITAL 224,
836,MUJZ 353,MUJZ 353 Individual Instruction,,PLDV 410,,,,
837,MUEN 326,MUEN 326 Guitar Ensemble,,"MUEN 226, MUEN 426",,,,
838,MUEN 329,MUEN 329 Jazz Ensemble,,"MUEN 429, MUEN 229",,,,
839,MUEN 332,MUEN 332 Jazz Chamber Music,,"MUEN 432, MUEN 232",,,,
840,MUJZ 305,Advanced Jazz Theory,,,,,MUCO 133,
841,MUJZ 400,MUJZ 400 Arranging for Jazz Ensemble,,MUCO 400,,,,
842,MUJZ 443,MUJZ 443 Jazz Pedagogy,,MUED 443,,,,
843,MTEC 443,MTEC 443 Desktop Music Production,,MUIN 305,,MTEC 245,,"csr00992, csr01517, csr01500, csr01502"
844,MTEC 444,Non-Linear MIDI Sequencing,,,,MTEC 245,,
845,MTEC 445,Advanced Desktop Music Production,,,,"MTEC 444, MTEC 443, MTEC 474",,"csr01500, csr01517"
846,MTEC 446,MTEC 446a Computer Assisted Recording and Editing,,MUIN 446,,,,
847,MUJZ 350,MUJZ 350g A History of Jazz Music,,,,MUHL 250,,
848,MPPM 350,MPPM 350g A History of Popular Music,,,,MUHL 250,,
849,MUSC 102,MUSC 102gw World Music,,MUHL 302,,,,
850,MUSC 115,MUSC 115gp Western Music as Sounding History,,MUHL 315,,,,
851,MUSC 200,MUSC 200gmw The Broadway Musical : Reflections of American Diversity,,MUSC 400,,,,
852,MUSC 210,MUSC 210g Electronic Music and Dance Culture,,MUSC 410,,,,
853,MUSC 250,MUSC 250gmw The Music of Black Americans,,MUSC 450,,,,
854,REL 401,REL 401 Seminar in Religious Studies,,REL 399,,REL 301,,
855,HEBR 315,Modern Hebrew Language (Hebrew IV),,,,,HEBR 220,
