link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
45,THTR 427,"THTR 427 Audition Technique for Film , Television and New Media",,,,,"THTR 101, THTR 252",
46,THTR 440,THTR 440 Advanced Voice,,THTR 440,,,THTR 340,
47,THTR 464,THTR 464 An Actor's Reel,,,,,"THTR 320, THTR 252",
48,THTR 480,THTR 480a Performance for Camera,,THTR 480,,,,
49,THTR 497,THTR 497 Advanced Theatre Practicum,,,,,THTR 397,
50,THTR 225,THTR 225g Theatre Across History and Cultures,,,,THTR 125,,
51,THTR 310,THTR 310 Comedy and Diversity,,,,"THTR 225, THTR 125",,
52,THTR 312,THTR 312 LGBTQ Theatre,,,,,THTR 225,
53,THTR 405,THTR 405m Performing Identities,,THTR 393,,,,
54,THTR 456,THTR 456 Latinx Theatre,,,,,THTR 225,
55,THTR 460,THTR 460 Asian and Asian American Theatre : Identity and Aesthetics,,,,,THTR 225,
56,THTR 301,THTR 301 Greek and Roman Theatre,,THTR 213,,"THTR 201, THTR 125",,
57,THTR 302,THTR 302 Shakespeare in His World,,THTR 214,,"THTR 201, THTR 211, THTR 210",,
58,THTR 313,Comedy of Manners,,,,"THTR 201, THTR 211, THTR 210",,
59,THTR 314,Advanced Topics in Modern Drama,,,,"THTR 201, THTR 211, THTR 210",,
60,THTR 400,THTR 400 Eco-Theatre : Art and Science in Contemporary Plays,,,,,THTR 225,
61,THTR 403,THTR 403 The Performing Arts,,THTR 303,,,,
62,WRIT 150,WRIT 150 Writing and Critical Reasoningâ€“Thematic Approaches,,"WRIT 130, WRIT 140",,,,
63,WRIT 340,Advanced Writing,,,,,"WRIT 130, WRIT 150","csr01505, csr00792, csr02003, csr02003"
64,MATH 126,Calculus II,,,,,MATH 125,csr01709
65,MATH 127,MATH 127 Enhanced Calculus II,,MATH 126,,,,
66,MATH 129,MATH 129 Calculus II for Engineers and Scientists,,"MATH 127, MATH 126",,,MATH 125,
67,MATH 226,Calculus III,,,,,"MATH 127, MATH 126",
68,MATH 227,MATH 227 Enhanced Calculus III,,MATH 226,,,"MATH 225, MATH 127",
69,MATH 229,MATH 229 Calculus III for Engineers and Scientists,,"MATH 226, MATH 227",,,"MATH 129, MATH 127, MATH 126",
70,MATH 245,Mathematics of Physics and Engineering I,,,,,"MATH 226, MATH 227",
71,PHYS 151,PHYS 151Lg Fundamentals of Physics I : Mechanics and Thermodynamics,,,,,"MATH 226, MATH 125, MATH 126",
72,PHYS 161,PHYS 161Lg Advanced Principles of Physics I,,,MATH 226,,MATH 126,
73,PHYS 152,PHYS 152L Fundamentals of Physics II : Electricity and Magnetism,,,MATH 226,,"PHYS 151, MATH 126",
74,PHYS 162,PHYS 162L Advanced Principles of Physics II,,,,,"MATH 226, PHYS 161",
75,PHYS 153,PHYS 153 L Fundamentals of Physics III : Optics and Modern Physics,,,,,PHYS 152,udc00162
76,PHYS 163,PHYS 163L Advanced Principles of Physics III,,,,,PHYS 162,udc00162
77,CHEM 105,CHEM 105aLg General Chemistry,,CHEM 115,,,CHEM 050,
78,CHEM 115,CHEM 115aLg Advanced General Chemistry,,CHEM 105,,,,
79,AME 201,AME 201 Statics,ACAD 203,,,,"AME 101, PHYS 151, MATH 125",
80,AME 204,AME 204 Strength of Materials,ACAD 204,,,,"AME 201, CE 205",
81,AME 231,AME 231L Mechanical Behavior of Materials,ACAD 231,,AME 204,,,
82,AME 261,AME 261 Basic Flight Mechanics,,,,ITP 168,,
83,AME 301,AME 301 Dynamics,ACAD 301,,,,"PHYS 151, AME 201, CE 205",
84,AME 302,AME 302 Dynamic Systems,,,,,"CE 309, MATH 245, AME 309, AME 301, CE 325",
85,AME 308,Computer-Aided Analyses for Aero-Mechanical Design,,,AME 301,,AME 204,
86,AME 309,AME 309 Dynamics of Fluids,,,,,"AME 310, MATH 245, AME 201",
87,AME 310,AME 310 Engineering Thermodynamics I,,,,,"MATH 226, MATH 227, PHYS 151, MATH 229",
88,AME 341,AME 341aL Mechoptronics Laboratory I and II,,,,,"PHYS 152, MATH 129, PHYS 162, MATH 127, MATH 126",
89,AME 436,Energy and Propulsion,,,,,"AME 310, CE 309, AME 309",
90,AME 441,AME 441a L Senior Projects Laboratory,,,,,AME 341,
91,AME 451,AME 451 Linear Control Systems I,,EE 482,,,"AME 302, MATH 245",
92,ASTE 280,Foundations of Astronautical Engineering,,,,,"MATH 226, PHYS 152",
93,ITP 168,ITP 168 Introduction to MATLAB,,,,"MATH 118, MATH 125",,
94,AME 459,Flight Mechanics,,,,AME 309,,
95,AME 460,Aerodynamic Theory,,,,,AME 309,
96,AME 443,AME 443 Control Systems Laboratory,,AME 442,,,"AME 451, EE 482, AME 420",
97,AME 457,Engineering Fluid Dynamics,,,,,"AME 310, CE 309, AME 309",
98,AME 485,AME 485 Aerospace Structures I,,AME 353,,,"MASC 310, AME 231, AME 204",
99,CE 358,Theory of Structures I,,,,,CE 225,"csr00049, csr00090, csr00158, csr00217, csr00547, csr01526, csr01790, csr02181, csr02422"
100,AME 403,Stress Analysis,,,,,AME 204,
101,AME 420,Engineering Vibrations I,,,,,MATH 245,
102,AME 408,Computer-Aided Design of Mechanical Systems,,,,,"AME 308, CE 225, AME 204",
103,CE 458,CE 458 Theory of Structures II,,,,,"CE 108, CE 358",
104,AME 453,Engineering Dynamics,,,,,MATH 245,
105,AME 430,Thermal Systems Design,,,,,"AME 312, AME 331",
106,ASTE 421,ASTE 421x Space Mission Design,,,,,ASTE 330,
107,AME 312,Engineering Thermodynamics II,,,,,AME 310,
108,PHYS 316,Thermodynamics and Statistical Mechanics,,,,,"PHYS 152, MATH 226, PHYS 161",
109,AME 331,Heat Transfer,,,"CE 309, AME 309",,AME 310,
110,AMST 301,"AMST 301gp America , the Frontier , and the New West",,,,"ENGL 263, HIST 100",,
111,HIST 380,HIST 380 American Popular Culture,,HIST 255,,,,
112,AMST 448,AMST 448m Chicano and Latino Literature,,ENGL 448,,,,
113,ENGL 343,ENGL 343m Images of Women in Contemporary Culture,SWMS 343,ENGL 476,,,,
114,AHIS 363,AHIS 363m Contemporary Art and the Culture Wars,SWMS 363,,,AHIS 121,,
115,ENGL 371,ENGL 371g Literary Genres and Film,,ENGL 471,,,,
116,ENGL 381,ENGL 381 Narrative Forms in Literature and Film,,ENGL 481,,,,
117,ANTH 240,ANTH 240gm Representing 9/11 and Hurricane Katrina,AMST 240,,,ANTH 263,,
118,COMM 371,COMM 371 Censorship and the Law : From the Press to Cyberspace,,JOUR 371,,,,
