link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
151,CTAN 301,,,,,CTAN 202,
152,CTAN 302,,,,,CTAN 301,
153,CTAN 336,,,,,CTAN 301,
154,CTAN 401,,,,,CTAN 336,
155,CNTV 495,,"CTPR 495, CTIN 495",,,,
156,PHED 120,,PHED 120,,,,
157,DANC 181,,THTR 181,,,,
158,DANC 184,,THTR 184,,,,
159,DANC 188,,THTR 188,,,,
160,DANC 189,,THTR 189,,,,
161,ANTH 202,"CLAS 202, ARCG 202",,,,,
162,HBIO 200,ANTH 200,ANTH 200,,,,
163,ANTH 410,,,,,ANTH 201,
164,ANTH 302,,,,"ANTH 202, GEOL 105, GEOL 150",,
165,ANTH 370,SWMS 370,,,,,
166,ANTH 481,ARCG 481,,,"ANTH 202, SSCI 382",,
167,HBIO 300,ANTH 300,ANTH 300,,,,
168,HBIO 405,ANTH 405,ANTH 405,,,"HBIO 200, BISC 120, BISC 121",
169,ANTH 310,ARCG 310,,,,,
170,ANTH 491,,,,,ANTH 201,
171,HBIO 406,ANTH 406,,,,HBIO 200,
172,HBIO 306,ANTH 306,ANTH 306,,HBIO 200,,
173,HBIO 308,ANTH 308,ANTH 308,,,,
174,MATH 225,,,,,"MATH 127, MATH 126","udc00142, udc00158"
175,MATH 407,,,,,"MATH 226, MATH 227","khn00877, khn00897, khn00927, khn00937, khn00947, khn00881, khn00901, khn00911, khn00871, khn00891"
176,MATH 458,,,,,"MATH 245, MATH 225",
177,MATH 370,,,,,"MATH 226, MATH 227, MATH 225, MATH 245",udc00152
178,MATH 408,,,,,MATH 407,udc00167
179,MATH 410,,,,,"MATH 225, MATH 450",
180,MATH 425,,,,,"MATH 226, MATH 227, MATH 450",
181,MATH 430,,,,,"MATH 127, MATH 126",
182,MATH 432,,,,,"MATH 226, MATH 227, MATH 225","csr00439, csr00641, csr01538, csr01577, csr00231"
183,MATH 435,,,,,"MATH 226, MATH 227",
184,MATH 445,,,,,"MATH 226, MATH 227, MATH 225, MATH 245",
185,MATH 466,,,,,"MATH 245, MATH 225",
186,MATH 467,,,,,"MATH 226, MATH 227, MATH 225, MATH 245",
187,MATH 471,,,,,"MATH 410, MATH 225",udc00142
188,MATH 465,,,,,"MATH 245, MATH 225",
189,CSCI 103,,,"EE 109, CSCI 109",,,"csr01380, csr00002, csr00268, csr01258, csr02257, csr02427"
190,CE 205,,,,,PHYS 151,
191,CE 225,,,,,CE 205,
192,CE 235,,CE 325,,,CE 205,
193,CE 309,,,CE 235,,"MATH 226, MATH 229",
194,EE 326,,,,,"PHYS 152, MATH 126","khn01275, khn01285, khn01295, khn01305, khn01315, khn01325, khn01265"
195,HIST 101,CLAS 101,,,,,
196,REL 304,"ARCG 304, ANTH 318",,,"REL 301, ANTH 202",,"csr00676, csr00774"
197,AHIS 415,"ARCG 415, CLAS 415",,,,,
198,ANTH 307,ARCG 307,,,ANTH 202,,
199,ANTH 400,ARCG 400,,,"ANTH 202, ANTH 310, ANTH 314",,
200,ANTH 450,ARCG 482,,ANTH 400,,"ANTH 202, ANTH 310, ANTH 314",
201,REL 494,ARCG 494,,,ANTH 202,,
202,AHIS 321,"ARCG 321, CLAS 321",,,,,
203,AHIS 322,"ARCG 322, CLAS 322",,,,,
204,AHIS 381,EALC 381,,,,,
205,ANTH 304,,,,HBIO 200,,
206,ANTH 337,,,,"ANTH 202, ANTH 304",,
207,ANTH 377,ARCG 377,,,ANTH 202,,
208,CLAS 328,,,,"AHIS 201, AHIS 120",,
209,CLAS 349,,CLAS 149,,,,
210,CLAS 371,HIST 387,,,,,
211,JS 370,ARCG 370,,,,,
212,JS 378,ARCG 378,,,,,
213,MDES 316,HIST 394,,,,,
214,ANTH 376,ARCG 376,,,ANTH 202,,
215,ARCG 305,"ANTH 309, REL 305",,,ANTH 202,,
216,ARCG 490,,,,"ANTH 202, ANTH 307, REL 494",,
217,CHEM 300,,,,,"CHEM 105, CHEM 115",
218,ENST 320,,ENST 420,,ENST 100,,
219,GEOL 305,,"GEOL 108, GEOL 105",,,,
220,GEOL 320,,"GEOL 334, GEOL 451",GEOL 315,,,
221,GEOL 412,,,,"CHEM 105, PHYS 151, PHYS 135, MATH 126",,
222,SSCI 382,,,,,SSCI 301,"csr00909, csr01335, csr02369"
223,SSCI 483,,,,,SSCI 382,
224,CLAS 465,"ARCG 465, REL 465, ANTH 465",,,,,
225,MATH 108,,,,,MATH 040,
226,PHYS 125,,PHYS 135,,,MATH 108,
227,ARCH 202,,,,,ARCH 102,
228,ARCH 213,,,,"MATH 108, PHYS 125",,
229,ARCH 313,,,,,ARCH 213,
230,ARCH 314,,,,,ARCH 214,
231,ARCH 411,,,,,ARCH 313,
232,ARCH 470,,ARCH 470,,,,
233,ARCH 302,,,,,ARCH 202,
234,ARCH 402,,,,,ARCH 302,
235,ARCH 500,,,ARCH 501,,ARCH 402,
236,ARCH 501,,,,,ARCH 402,
237,ARCH 502,,,,,"ARCH 501, ARCH 500",
238,ARCH 526,,,,,"ARCH 605, ARCH 500",
239,ART 105,DES 105,,,,,
240,ART 106,DES 106,,,,,
241,CRIT 150,,FACS 150,,,,
242,CRIT 160,,,,CRIT 150,,
243,CRIT 350,,FA 350,,"CRIT 160, CRIT 150",,
244,AHIS 304,SWMS 304,,,,,
245,AHIS 343,,"AHIS 340, AHIS 342",,"AHIS 120, AHIS 121",,
246,AHIS 344,,"AHIS 356, AHIS 353",,,,
247,AHIS 361,,AHIS 461,,,,
248,AHIS 368,,AHIS 360,,,,
249,ACAD 174,,ACAD 175,,,,
250,ACAD 182,,,,,ACAD 181,
251,ACAD 207,,,,,"ACAD 177, ACAD 180, ACAD 178",
252,ACAD 275,,ITP 204,,,,
253,ACAD 276,,,,,ACAD 275,
254,ACAD 277,,,,,ACAD 276,
255,ACAD 245,,,,,"ACAD 240, ACAD 323","udc00045, khn00246, khn00276, khn00286, khn00296, khn00256, khn00266, khn00306, khn00316"
256,ACAD 280,,,,,"ACAD 275, ACAD 276, ACAD 178",
257,ACAD 360,,,,,"ACAD 182, ACAD 181",udc00054
258,ACAD 376,,,,,"ACAD 177, ACAD 180, ACAD 179, ACAD 178",
259,ACAD 377,,,,,ACAD 376,
260,ACAD 475,,,,,ACAD 377,
261,ITP 251,,BUAD 310,,,,
262,ITP 350,,,,,"ITP 251, ITP 250",
263,MOR 431,,MOR 331,,,,
264,ACAD 200,,,,ACAD 180,,csr01146
265,ACAD 352,,,,ACAD 200,,
266,ACAD 354,,,,ACAD 200,,
267,ACAD 356,,,,ACAD 200,,
268,ITP 308,"BME 308, ACAD 308",,,MATH 245,,
269,ASTE 301,,AME 311,,,"MATH 245, PHYS 153",
270,ASTE 330,,,,,"PHYS 153, ASTE 280",
271,ASTR 400,,,,,MATH 226,csr00662
272,ASTR 422,,,,,"PHYS 153, PHYS 163",
273,ASTR 424,,,,,"PHYS 153, PHYS 163",
274,ASTR 450,,,,,"PHYS 153, PHYS 163",
275,PHYS 304,,,,,"MATH 245, PHYS 151, PHYS 161",
276,PHYS 492,,,,,PHYS 152,
277,PHYS 408,,,MATH 245,,"PHYS 152, PHYS 162",
278,PHYS 438,,,MATH 445,,PHYS 304,
279,BISC 120,,"BISC 113, BISC 112, BISC 121",,,,
280,BISC 121,,"BISC 113, BISC 112, BISC 120",CHEM 115,,,
281,BISC 220,,"BISC 221, BISC 111, BISC 110",,"BISC 120, BISC 121",,
282,BISC 221,,"BISC 220, BISC 111, BISC 110","CHEM 105, CHEM 115",,"BISC 120, BISC 121",
283,BISC 320,,BISC 311,,,"CHEM 105, CHEM 115",csr01650
284,BISC 330,CHEM 330,BISC 316,,,CHEM 322,
285,BISC 403,,,,,"BISC 325, BISC 320, BISC 313",
286,BISC 435,,,,,BISC 330,
287,CHEM 107,,"CHEM 105, CHEM 115",,,,
288,CHEM 108,,"CHEM 105, CHEM 115",,CHEM 107,,
289,CHEM 322,,,,,"CHEM 105, CHEM 115",
290,CHEM 325,,,,,"CHEM 105, CHEM 115",
291,CHEM 430,,CHEM 430,,,"CHEM 322, CHEM 325, PHYS 151, CHEM 300, MATH 226, MATH 225",
292,CHEM 432,,CHEM 430,,,"CHEM 322, CHEM 325, PHYS 151, CHEM 300, MATH 126, PHYS 135",
293,MATH 208,,,,,"MATH 118, MATH 125",
294,PHYS 135,,PHYS 125,,,"MATH 226, MATH 108, MATH 125, MATH 126",
295,BISC 325,,,"CHEM 322, CHEM 325",,"CHEM 322, BISC 320, BISC 221, BISC 220, BISC 120, BISC 121",
296,BME 210,,,,"MATH 245, BME 101",,
297,BME 302,,,,,EE 202,
298,BME 402,,,,,"MATH 245, BISC 110, BME 210, BISC 220",
299,BME 403,,,EE 202,,"BISC 220, MATH 245",
300,BME 405,,,,,"EE 202, BME 210",
301,BME 410,,,,,CHEM 322,
302,BME 413,,,,,PHYS 152,"khn00959, khn00979"
303,BME 423,,,,,MATH 245,
304,BME 425,,,,,PHYS 152,
305,BME 404,,,,,"MATH 245, PHYS 151, AME 201",
306,BME 430,CHE 430,,,,"MATH 245, CHE 205, BME 210, BISC 220",csr01650
307,BME 451,,,,,EE 202,
308,BME 452,,,,,EE 202,
309,EE 202,,,MATH 245,,PHYS 152,csr01136
310,CHE 330,,,MATH 226,,,
311,CHE 350,,,,,"CHEM 105, CHEM 115, CHE 330",
312,CHE 489,,,,,"CHE 330, BISC 320",
313,MASC 310,ACAD 312,,,,,
314,EE 109,,,"CSCI 103, EE 155",,,"udc00096, csr02308, csr01936, csr01225, csr01269, csr01141, csr00461, csr02338"
315,EE 209,,,,,EE 109,
316,EE 338,,,,,"PHYS 152, EE 202",csr01143
317,EE 348,,,EE 338,,,
318,EE 354,,EE 254,,,"EE 101, EE 209",
319,EE 454,CSCI 454,,,,EE 354,
320,PHYS 444,,,,,"PHYS 152, BISC 220, PHYS 162",
321,BUAD 425,,,BUAD 497,,"BUAD 304, BUAD 311, BUAD 307, BUAD 286, BUAD 306, BUAD 305, BUAD 285, BUAD 310, BUAD 302, BUAD 281","csr00011, csr00920, csr01348, csr00353, csr02505, csr00894, csr00332, csr00151, csr00758, csr00939"
322,FBE 391,,FBE 365,,,"BUAD 306, BUAD 215",
323,FBE 465,,,,,"FBE 400, FBE 391",
324,FBE 466,,,,,"FBE 470, FBE 400, FBE 391",
325,FBE 470,,FBE 465,,,FBE 391,
326,FBE 489,,,,,"FBE 400, FBE 391",csr01863
327,FBE 491,,,,,"FBE 400, FBE 391",
328,BAEP 423,,"BAEP 310, BAEP 451, BAEP 450, BUAD 301",,,,
329,DSO 455,,IOM 455,,,,"csr00965, csr02534, csr00300, csr01498, csr01638, csr00312, csr02137, csr01620, csr00481, csr00967"
330,FBE 421,,,,,"BUAD 306, BUAD 215","csr00953, csr00946"
331,FBE 423,,,,,"BUAD 306, BUAD 215",
332,FBE 435,,,,,"BUAD 306, BUAD 215",
333,FBE 437,,,,,"BUAD 306, BUAD 215",
334,FBE 441,,,,,"BUAD 306, BUAD 215",
335,FBE 459,,,,,"BUAD 306, BUAD 215",
336,MOR 421,,,,,BUAD 304,
337,FBE 403,,BUAD 403,,,,csr02099
338,SLL 150,,,,,SLL 120,
339,SLL 220,,,,,"SLL 120, SLL 150",
340,SLL 250,,,,,SLL 220,
341,SLL 310,,,,,"SLL 120, SLL 220, SLL 250, SLL 150",
342,SLL 340,,,,,"SLL 120, SLL 220, SLL 250, SLL 150",
343,GERM 102,,,,,GERM 101,
344,SLL 152,,,,,SLL 122,
345,SLL 465,,,,,SLL 250,
346,CHE 120,,,"CHEM 115, CHEM 105, MATH 125",,,
347,CHE 205,,,,,MATH 125,
348,CHE 442,,,,,MATH 245,
349,CHE 443,,,"CHE 350, MATH 245",,,
350,CHE 444,,,CHE 443,,"CHE 350, CHE 330, CHE 442",
351,CHE 445,,AME 331,,,"MATH 245, CHE 443",
352,CHE 446,,,,,"MATH 245, CHE 443, CHE 445",
353,CHE 460,,,MATH 245,,CHE 120,
354,CHE 485,,,,,"CHE 443, CHE 442",
355,CHEM 431,,CHEM 430,,,PHYS 152,
356,CHE 405,,,,,MATH 245,
357,CHE 476,,,,,CHEM 322,
358,EE 438,,MASC 438,,,EE 338,
359,BUAD 301,,"BAEP 310, BAEP 423, BAEP 451, BAEP 450",,,,"csr02002, csr02002, csr01432, csr01399"
360,BISC 300,,,,,"CHEM 322, BISC 320, CHEM 325",
361,CHE 486,,,"CHE 485, CHE 480",,,
362,CE 453,,,"CE 309, ENE 410",,"CHEM 105, CHEM 115",
363,CE 463,,,,,"CE 453, CHEM 105, CHEM 115",
364,PTE 463,,,,,"PHYS 151, MATH 245, CHEM 105, CHEM 115",
365,ENE 428,,,,,"ENE 200, MATH 245, PHYS 151, CHEM 115, CHE 350, CHEM 105",
366,ENE 429,,,,,"CE 309, ENE 410, ENE 428",
367,CHEM 453,,,,,"CHEM 322, CHEM 105, CHEM 115, CHEM 325",
368,CHE 487,,,,,"CHEM 105, CHEM 115, MASC 110",
369,CHE 491,,,,,CHE 391,
370,MASC 350,,,,,"PHYS 152, CHEM 105, CHEM 115, MASC 110",
371,PTE 461,,,PTE 463,,,
372,PTE 464,,,,,PTE 463,
373,PTE 465,,,,,PTE 464,
374,CHE 472,,,,CHEM 322,,
375,CHE 474,,,,CHE 472,,
376,CHE 475,MASC 475,,,"CHEM 430, CHE 472",,
377,CHE 450,,,,,"PHYS 152, PHYS 151, CHE 330",
378,CHE 301,,,,,"CHEM 105, CHEM 115, MASC 110","csr01650, csr01634"
379,CHE 488,,,,,BISC 320,
380,EE 513,,,,EE 338,,
381,CHEM 332,,,"CHEM 430, CHEM 431",,,
382,CHEM 423,,,,,"CHEM 322, CHEM 300, CHEM 325",
383,CHEM 463,,,,,"CHEM 322, CHEM 325",
384,CHEM 465,,,,,"CHEM 431, CHEM 430, CHEM 332",
385,CHEM 467,,,CHEM 300,,"CHEM 322, CHEM 325",
386,CHEM 426,,,,,"CHEM 322, CHEM 325",
387,CHEM 455,,,,,"CHEM 322, CHEM 325",
388,CHEM 488,,,,,"CHEM 322, CHEM 300, CHEM 325",
389,CHEM 588,,,,,CHEM 588,
390,CHEM 292,,,"CHEM 105, CHEM 115",,,
391,CHEM 294,,,"CHEM 105, CHEM 115",,,
392,CHEM 494,,,,,CHEM 490,"csr00864, csr00887"
393,MPVA 301,,"MPVA 201, MPVA 401",,,,
394,MUCD 441,,,,,"MUCD 340, MUCD 343",
395,MUCO 441,,,,,MUCO 233,
396,MUCO 233,,,,,MUCO 133,
397,MUCO 338,,,,MUCO 233,,
398,MUHL 350,,,,MUHL 250,,
399,MUHL 351,,,,"MUHL 250, MUHL 350",,
400,CTCS 473,,,,,CTCS 190,
401,CTPR 290,,,,CTPR 285,,
402,CTCS 495,,,CTCS 473,,,
403,CTPR 310,,,,,"CTPR 294, CTPR 295",
404,CTPR 450,,,,,CTPR 310,
405,CTWR 414,,,,,"CTWR 413, CTWR 416",
406,CTPR 421,,,,,"CTPR 335, CTPR 310",
407,CTPR 424,,,,,"CTPR 327, CTPR 310",
408,CTPR 438,,,,,"CTPR 425, CTPR 310",
409,CTPR 440,,,,,"CTPR 340, CTPR 310",
410,CTPR 465,,,,,"CTPR 456, CTPR 310",
411,CTPR 478,,,,,CTPR 310,
412,CTPR 480,,,,,"CTPR 478, CTPR 450",
413,CTPR 484,,,,CTPR 371,,
414,CTPR 486,,,,,"CTPR 479, CTPR 450, CTPR 507, CTPR 504, CTPR 376",
415,CTPR 466,,,,,CTPR 310,
416,CTIN 463,,,,CTIN 488,,"csr00868, csr02233"
417,CTIN 482,,CNTV 482,,,,"csr01995, csr01995"
418,CTIN 483,,,,,"ITP 165, CTIN 101, CTIN 290","csr00868, csr02233, csr01990, csr01990, csr01963, csr01963, csr00872, csr02237, csr01689, csr02210"
419,IML 400,,,,,IML 300,
420,CE 207,,,"CE 225, CE 106",,CE 205,
421,CE 334,,,,,"CHEM 105, PHYS 152, CE 225, CHEM 115, AME 204",
422,CE 402,,,,,"MATH 245, CE 108",
423,CE 408,,,,,"MATH 226, CE 225, MATH 229",
424,CE 451,,,,,"CE 309, ENE 410",
425,CE 456,,,CE 358,,"CE 225, CE 207",
426,CE 467,,CE 464,,,CE 225,
427,CE 471,,,,,"MATH 226, MATH 227, MATH 229",
428,CE 480,,,,,"CE 478, CE 482, CE 457, CE 358, CE 456, CE 473, CE 467",
429,CE 465,,,,,CE 453,
430,CE 457,,,CE 358,,"CE 225, CE 207",
431,ARCH 205,,,,,CE 106,"csr00101, csr00055, csr02584"
432,ARCH 305,,,,,ARCH 205,"csr00101, csr00055, csr02584"
433,ARCH 405,,,,,ARCH 305,csr00101
434,CE 210,,,,"CHEM 115, CHEM 105, CE 110, CE 106",,
435,CE 485,,,,,"CE 451, CE 473, CE 463",
436,ENE 200,,,,,"MATH 226, PHYS 152, CHEM 105, CHEM 115, MATH 229",
437,ENE 426,,ENE 526,,,"ENE 200, ENE 400",
438,CE 459,,,CE 458,,,
439,CE 478,,,,,"CE 225, CE 207",
440,CE 482,,,,,CE 467,
441,COLT 101,,COLT 150,,,,
442,GR 150,,,,,GR 120,"khn01146, khn01166, khn01176, khn01186"
443,GR 220,,,,,GR 150,"khn01146, khn01166, khn01176, khn01186"
444,LAT 150,,,,,LAT 120,
445,LAT 222,,,,,LAT 150,
446,PSYC 274,,,,PSYC 100,,udc00121
447,PSYC 301,,,,,PSYC 100,
448,LING 301,,LING 401,,,LING 210,
449,LING 302,,LING 402,,,LING 210,
450,PHIL 122,,PHIL 250,,,,
451,PSYC 304,,,,,PSYC 100,
452,PSYC 336,,,,,PSYC 100,
453,CSCI 360,,CSCI 460,,,"CSCI 104, CSCI 170","udc00102, udc00116, udc00138, udc00218, udc00012, udc00216"
454,LING 405,,LING 395,,,,
455,LING 406,,,,,"LING 210, PSYC 100",
456,LING 407,,,,,"LING 210, PSYC 100",
457,PSYC 305,,,,,PSYC 100,
458,PSYC 320,,,,,PSYC 100,
459,PSYC 360,,,,,PSYC 100,
460,PSYC 420,,,,,PSYC 100,
461,PSYC 422,,,,,PSYC 314,"csr00894, csr00353, csr02505, csr00332"
462,PSYC 433,,,,,PSYC 336,
463,PSYC 450,,,,,PSYC 100,
464,PSYC 454,,,,,"PSYC 100, PSYC 355",csr01860
465,BISC 421,NEUR 421,,,,"BISC 221, BISC 220",
466,PSYC 314,,,,,"PSYC 274, PSYC 100","csr01736, csr00848, csr01567, csr00851, csr01570"
467,PSYC 326,,,,,PSYC 100,
468,PSYC 424,NEUR 424,,,,,
469,PSYC 425,,,,,"PSYC 274, PSYC 100",
470,PSYC 440,,,,,PSYC 100,
471,COMM 313,,COMM 203,,,,
472,COMM 311,,COMM 201,,,,
473,COMM 209,,"COMM 208, COMM 207",,,,
474,COMM 309,,COMM 202,,,,
475,COLT 251,,COLT 151,,,,
476,COLT 351,,COLT 305,,,,
477,COLT 448,MDES 449,,,,,
478,COLT 375,SPAN 375,,,,,
479,MPKS 301,,"MPKS 201, MPKS 401",,,,
480,MUCO 135,,,MUCO 137,,,
481,MUCO 235,,,,,MUCO 137,
482,MUCO 236,,,,,MUCO 137,
483,MUCO 237,,,,,MUCO 137,
484,MUCO 336,,,,,MUCO 236,
485,MUCO 337,,,,,MUCO 237,
486,MUCO 434,,,,,"MUCO 233, MUCO 232",
487,MUCO 435,,,,,MUCO 235,
488,MUCO 437,,,,,MUCO 337,
489,MTEC 474,,MUEA 474,,,,
490,MTEC 490,,MUEA 490,,,,csr01115
491,MPKS 350,,,,,MPKS 250,
492,CSCI 104,,,CSCI 170,,CSCI 103,"csr00547, csr00535, csr01160, csr01186, csr00090, csr01262, csr00580, csr00049, csr00158, csr00600"
493,CSCI 170,,CSCI 271,,,"EE 109, CSCI 103, CSCI 109","csr01547, csr01597, csr01548"
494,CSCI 201,,,,,CSCI 104,"csr00565, csr01223, csr01606, csr01969, csr01969, csr02057, csr02410, csr00588, csr01939"
495,LING 303,,,,,LING 210,csr00392
496,CSCI 310,,CSCI 377,,,CSCI 201,"udc00136, csr01998, csr01998, udc00137, csr02430, csr00549, csr02136, csr01633, csr00543, csr02033"
497,CSCI 445,,,,,CSCI 103,"csr02289, csr02265, csr02267, csr00333, csr02270, csr02268, csr00328, csr02269, udc00138, udc00009"
498,BME 575,,,,,BME 502,
499,CSCI 561,EE 561,,,,,"udc00102, udc00138, udc00218, udc00116, udc00012, udc00216"
500,CSCI 574,,,,,CSCI 455,"csr00391, udc00139"
501,CSCI 662,,CSCI 562,,,,csr00392
502,EE 559,,,"EE 503, EE 441",,,
503,NSCI 524,PHBI 524,NEUR 524,,,BISC 421,
504,NSCI 531,,NEUR 531,,,,
505,PSYC 540,NSCI 533,,,,,
506,PSYC 551,,,,PSYC 547,,
507,BISC 424,NEUR 424,,,,BISC 421,
508,BISC 462,NEUR 462,,,,,
509,PSYC 438,,,,,PSYC 274,
510,EE 364,,,,,"MATH 245, MATH 225","khn01275, khn01285, khn01295, khn01305, khn01315, khn01325, khn01265"
511,CSCI 270,,CSCI 303,,,"CSCI 104, CSCI 170",csr00168
512,CSCI 350,,CSCI 402,,,"CSCI 356, EE 354, CSCI 201","udc00123, csr02338, csr01455"
513,CSCI 353,,EE 450,,,CSCI 201,
514,EE 457,CSCI 457,,,,EE 354,csr01185
515,EE 451,CSCI 452,,,,"EE 355, CSCI 201",csr00550
516,EE 477,,,,,"EE 354, EE 338",
517,CSCI 401,,CSCI 477,,,"CSCI 270, CSCI 310",udc00137
518,CSCI 404,,,,,"CSCI 270, CSCI 201, ITP 466",
519,EE 459,CSCI 452,,,,EE 354,
520,CSCI 420,,,,,"EE 141, CSCI 104, MATH 225, MATH 127, MATH 126, MATH 129","csr00213, udc00155"
521,CSCI 459,,,,,"MATH 225, CSCI 201",
522,CSCI 476,,,,,CSCI 270,
523,CSCI 485,,,,,CSCI 201,
524,CSCI 356,,EE 352,,,CSCI 104,"csr01185, csr02001, csr02001, csr02114, udc00139"
525,CSCI 423,,,,,"ITP 485, ITP 380, CSCI 522",
526,CSCI 430,,,,,CSCI 201,"udc00097, csr01011, csr01016, csr02126"
527,EE 450,CSCI 450,CSCI 353,,,,
528,ITP 368,CSCI 368,,,,"CSCI 104, ITP 365",csr00876
529,ITP 380,,,,,"CSCI 104, ITP 365","csr00554, csr01380, csr01258, csr00002, csr00268, csr01689, csr02210, csr00868, csr02233"
530,ITP 435,CSCI 435,,,,"CSCI 104, ITP 365",
531,ITP 439,CSCI 439,,,,ITP 435,
532,ITP 485,,,,,ITP 380,csr00554
533,EE 141,,EE 241,,,,"udc00142, udc00150"
534,CTIN 190,,CTIN 309,,,,
535,CTIN 484,,,,,"CTIN 488, CTIN 483, CTIN 541","csr00872, csr02237, csr01963, csr01963, csr01297, csr02036, csr00868, csr02233, csr00871, csr02236"
536,CTIN 488,,,,CTIN 190,,"csr01689, csr02210, csr01963, csr01963, csr00868, csr02233, csr00869, csr02234, csr00872, csr02237"
537,CTIN 489,,,,,"CTIN 488, CTIN 483, CTIN 541","csr00869, csr02234, csr00872, csr02237, csr01963, csr01963, csr01689, csr02210, csr01297, csr02036"
538,BAEP 452,,,,,"BAEP 310, BAEP 423, BAEP 451, BAEP 450, BUAD 301",
539,BAEP 453,,,,,"BAEP 310, BAEP 423, BAEP 451, BAEP 450, BUAD 301",
540,DSO 431,,IOM 431,,,,
541,DSO 433,,IOM 433,,,,udc00136
542,DSO 443,,IOM 443,,,,"csr01045, csr02445, csr01132, csr02026"
543,DSO 462,,IOM 462,,,,
544,MKT 425,,,,,"BUAD 307, MKT 385","csr01028, csr01093, csr01128, csr01852, csr02141, udc00198, csr01033, csr01098, csr01034, csr01099"
545,SPAN 250,,,,,SPAN 240,
546,SPAN 261,,SPAN 265,,,SPAN 220,
547,HIST 374,,HIST 450,,,,
548,SPAN 301,,,,,"SPAN 260, SPAN 261",
549,SPAN 304,,,,,"SPAN 260, SPAN 261",
550,SPAN 306,,SPAN 305,,,"SPAN 260, SPAN 261",
551,SPAN 308,,,,,"SPAN 260, SPAN 261",
552,SPAN 372,,,,"SPAN 308, SPAN 306, SPAN 304",,
553,SPAN 385,,,,,"SPAN 260, SPAN 261",
554,SPAN 462,,,,"SPAN 308, SPAN 306, SPAN 304",,
555,SPAN 481,,,,"SPAN 308, SPAN 306, SPAN 304",,
556,SPAN 482,,,,"SPAN 308, SPAN 306, SPAN 304",,
557,SPAN 483,,,,"SPAN 308, SPAN 306, SPAN 304",,
558,SPAN 484,,,,"SPAN 260, SPAN 261",,
559,SPAN 320,,"SPAN 370, SPAN 360",,,"SPAN 260, SPAN 261",
560,SPAN 302,,,,,"SPAN 260, SPAN 261, SPAN 301",
561,SPAN 321,,"SPAN 370, SPAN 360",,,"SPAN 260, SPAN 261",
562,SPAN 466,,,,"SPAN 260, SPAN 261",,
563,DANC 105,,,,,DANC 103,
564,DANC 131,,,,,DANC 130,
565,DANC 201,,,,,DANC 101,
566,DANC 210,,,,,DANC 110,
567,DANC 220,,,,,DANC 120,
568,DANC 230,,,,,DANC 131,
569,DANC 231,,,,,DANC 230,
570,DANC 301,,,,,DANC 201,
571,DANC 310,,,,,DANC 210,
572,DANC 320,,,,,DANC 220,
573,DANC 342,,DANC 442,,,,
574,DANC 485,,,,,DANC 480,
575,DANC 410,,,,,DANC 310,
576,DANC 420,,,,,DANC 320,
577,DANC 285,,THTR 285,,,,
578,DANC 312,,DANC 412,,,,
579,DANC 330,,,,,DANC 231,
580,DANC 430,,,,,DANC 330,
581,DANC 442,,DANC 442,,,DANC 342,
582,DES 102,,FADN 102,,,,"csr00855, csr01656, csr01260, csr01392, udc00076"
583,DES 202,,FADN 202,"FADN 203, DES 203",,"FADN 102, DES 102",
584,DES 203,,FADN 203,DES 202,,,"csr00542, csr00385, csr01932"
585,DES 213,,,,,"FADN 203, DES 230, DES 203",
586,DES 230,ACAD 230,FADN 230,,,"ACAD 176, FADN 102, DES 102",
587,DES 302,,FADN 302,,,"FADN 202, DES 202",
588,DES 303,ACAD 303,FADN 303,,,"ACAD 177, FADN 203, DES 203","csr00635, csr00346, csr00621, csr00679, csr01961, csr01961, csr00608, csr01474, csr02361, udc00076"
589,DES 322,,,,,"FADN 203, FADN 202, DES 332, DES 203, DES 202",
590,DES 323,ACAD 323,FADN 323,,,,
591,DES 332,ACAD 332,FADN 332,,,,"csr00856, csr01657"
592,DES 402,,FADN 402,,,"FADN 302, DES 302","khn00639, khn00649, khn00659, khn00669, khn00679, khn00689, khn00699, khn00709"
593,DES 413,,,,,"DES 402, FADN 402",
594,DES 432,,FADN 432,,,"FADN 302, DES 302","khn00639, khn00649, khn00659, khn00669, khn00679, khn00689, khn00699, khn00709"
595,GEOL 315,,,,"CHEM 105, CHEM 115",,
596,EALC 344,,,,HIST 105,,
597,EALC 306,,,,,EALC 304,
598,EALC 317,,,,,EALC 315,
599,EALC 322,,,,,EALC 320,
600,EALC 426,,,,,EALC 322,
601,EALC 470,,,,,"EALC 406, EALC 417, EALC 424",
602,EALC 366,,,,,EALC 206,
603,EALC 404,,,,,EALC 306,
604,EALC 407,,,,,EALC 404,"csr00729, csr01753, csr01778, csr02557, csr02558, csr02556"
605,EALC 412,,,,,EALC 306,"csr02557, csr02558, csr02556"
606,EALC 413,,,,,EALC 322,
607,EALC 418,,,,,EALC 217,
608,EALC 419,,,,,EALC 217,
609,EALC 422,,,,,EALC 322,
610,EALC 424,,,,,EALC 422,
611,CHEM 350,,,,,"CHEM 322, CHEM 325, CHEM 115, BISC 221, BISC 220, CHEM 105",
612,EE 250,,,,,"EE 109, EE 155","csr02096, csr01225, csr01269, csr00742, csr00735, csr00782, csr00902, csr01232, csr00432, csr01184"
613,EE 301,,,,,EE 202,
614,EE 330,,,,,"PHYS 152, EE 202, MATH 445",
