"id","course_name","course_url","description","image_url","provenance","subject"
"edx01132","Democratic to Authoritarian Rule","https://www.edx.org/course/democratic-to-authoritarian-rule-michiganx-teachout-1x","Learn how countries have shifted from democracies to authoritarian societies.","https://www.edx.org/sites/default/files/course/image/featured-card/teachoutseries_1x_318x210.jpg","The University of Michigan","History;Social Sciences"
"edx01133","Signals and Systems, Part 2","https://www.edx.org/course/signals-systems-part-2-iitbombayx-ee210-2x-2","This course provides the basic toolkit for any signal processing application - the abstraction of signals and systems, from the point of view of analysis and characterization.","https://www.edx.org/sites/default/files/course/image/featured-card/signals_and_systems_318x210_0.jpg","IITBombay","Engineering;Electronics"
"edx01134","Cellular Solids Part 2: Applications in Medicine","https://www.edx.org/course/cellular-solids-part-2-applications-mitx-3-054-2x-0","Learn how to apply foam models to trabecular bones and osteoporosis as well as to scaffolds for tissue engineering.","https://www.edx.org/sites/default/files/course/image/featured-card/3.054.2x-video_still_image11182015-318x210.jpg","Massachusetts Institute of Technology","Engineering"
"edx01135","Energy Subsidy Reform","https://www.edx.org/course/energy-subsidy-reform-imfx-esrx-1","A course on energy subsidies, their costs, and the design of a successful reform based on country case studies.","https://www.edx.org/sites/default/files/course/image/featured-card/esrx-378x225_0.jpg","The International Monetary Fund","Economics & Finance"
"edx01136","Shaping the Future of Work","https://www.edx.org/course/shaping-future-work-mitx-15-662x-1","Explore ways to improve job opportunities and develop a personal plan for lifelong career success.","https://www.edx.org/sites/default/files/course/image/featured-card/future_of_work_318x210.jpg","Massachusetts Institute of Technology","Business & Management"
"edx01137","Design Thinking for Leading and Learning","https://www.edx.org/course/design-thinking-leading-learning-mitx-microsoft-education-11-155x","A hands-on course for education leaders to learn about design thinking and explore how it can transform classroom learning and school communities.","https://www.edx.org/sites/default/files/course/image/featured-card/11.155x_sp17_318x210.jpg","Massachusetts Institute of Technology","Education & Teacher Training"
"edx01138","A System View of Communications: From Signals to Packets (Part 2)","https://www.edx.org/course/system-view-communications-signals-hkustx-elec1200-2x-1","Explore the tradeoffs in designing communication systems like mobile phones, and the engineering tools to handle them.","https://www.edx.org/sites/default/files/course/image/featured-card/hkustx-elec1200.2x-378x225.jpg","Hong Kong University of Science and Technology","Computer Science;Electronics;Engineering"
"edx01139","Introduction to Data Structures","https://www.edx.org/course/introduction-data-structures-adelaidex-data101x","Learn how data can be organised to empower you to write great programs to solve complex problems.","https://www.edx.org/sites/default/files/course/image/featured-card/data101x_318x210.jpg","University of Adelaide","Computer Science"
"edx01140","Preparing for the AP* Physics C: Electricity and Magnetism Exam","https://www.edx.org/course/preparing-ap-physics-c-electricity-georgetownx-phyx152x-1","Course addresses introductory electricity and magnetism topics including: Electrostatics, Conductors capacitors and dielectrics, Electric circuits, Magnetic fields, and Electromagnetism using calculus.","https://www.edx.org/sites/default/files/course/image/featured-card/physics-banner-378x225.jpg","Georgetown University","Physics"
"edx01141","The Divine Comedy: Dante's Journey to Freedom, Part 3 (Paradiso)","https://www.edx.org/course/divine-comedy-dantes-journey-freedom-georgetownx-humx423-01x-0","Leaving Earth behind and beneath, the Pilgrim Dante is transformed into the disciple of Beatrice. She now becomes his true path, la diritta via, along which he gradually discovers the Joy that Christianity identifies as the hope of Resurrection.","https://www.edx.org/sites/default/files/course/image/featured-card/paradiso-378x225.jpg","Georgetown University","Humanities;Literature;Philosophy & Ethics"
"edx01142","Atomic and Optical Physics: Atom-photon interactions","https://www.edx.org/course/atomic-optical-physics-atom-photon-mitx-8-422-2x","Learn how use quantum electrodynamics to describe the physics of interactions between atoms and photons.","https://www.edx.org/sites/default/files/course/image/featured-card/8.422.2x_sp17_318x210.jpg","Massachusetts Institute of Technology","Physics"
"edx01143","Citizen Engagement: A Game Changer for Development","https://www.edx.org/course/citizen-engagement-game-changer-wbgx-ce01x","Learn about citizen engagement and critically analyze how it can be leveraged most effectively to achieve development results.","https://www.edx.org/sites/default/files/course/image/featured-card/cemooc_logo_318x210.jpg","World Bank Group","Social Sciences;Economics & Finance"
"edx01144","The Story of Fake News","https://www.edx.org/course/story-fake-news-davidsonx-davnowxfakenews","Unpack the history and consequences of fake news and learn how we might be able to combat its effects and encourage credibility.","https://www.edx.org/sites/default/files/course/image/featured-card/fake_news_318x210.jpg","Davidson College","Communication"
"edx01145","Cyber Security Basics: A Hands-on Approach","https://www.edx.org/course/cyber-security-basics-hands-approach-uc3mx-inf-2x","Learn how to think like a hacker, but behave as a security expert.","https://www.edx.org/sites/default/files/course/image/featured-card/uc3mx_inf.2x_banner_318x210.jpg","Universidad Carlos III de Madrid","Computer Science;Engineering"
"edx01146","Mobile Application Experiences","https://www.edx.org/course/mobile-application-experiences-mitx-21w-789x","Learn to create a novel mobile application in this MIT course - from research to design, usability, implementation and field evaluation.","https://www.edx.org/sites/default/files/course/image/featured-card/building-mobile-experiences-318x210.jpg","Massachusetts Institute of Technology","Computer Science;Business & Management;Engineering;Humanities;Social Sciences;Data Analysis & Statistics"
