Mooc_#,course_name,course_url,description,id,image_url,provenance,special_id,subject
13,Effective Business Presentations with Powerpoint,http://www.coursera.org/specializations/pwc-analytics,"is all about presenting the story of the data, using PowerPoint. You'll  learn how to structure a presentation, to include insights and supporting data. You'll also learn some design principles for effective visuals and slides. You'll gai... moreYou can choose to take  only. Learn more.",csr00014,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Duke University,spc00002,
14,Data Analysis and Presentation Skills: the PwC Approach Final Project,http://www.coursera.org/specializations/pwc-analytics,"About the Capstone ProjectIn this Capstone Project, you'll bring together all the new skills and insights you've  learned through the four courses. You'll be given a 'mock' client problem and a data set. You'll need to analyze the data to gain business insights, research the ... moreYou can choose to take  only. Learn more.",csr00015,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Duke University,spc00002,
15,Fundamentals of Visualization with Tableau,http://www.coursera.org/specializations/data-visualization,"In this first course of the specialization, you will discover just what data  visualization is, and how we can use it to better see and understand data. Using Tableau, well examine the fundamental concepts of data visualization and exp... moreYou can choose to take  only. Learn more.",csr00016,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,PwC,spc00003,
16,Essential Design Principles for Tableau,http://www.coursera.org/specializations/data-visualization,", you will analyze and apply essential design principles to your Tableau  visualizations.  assumes you understand the tools within Tableau and have some knowledge of the fundamental concepts of data visualization. You will de... moreYou can choose to take  only. Learn more.",csr00017,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,PwC,spc00003,
17,Visual Analytics with Tableau,http://www.coursera.org/specializations/data-visualization,"In this third course of the specialization, well drill deeper into the tools Tableau  offers in the areas of charting, dates, table calculations and mapping. Well explore the best choices for charts, based on the type of data you are using. Well... moreYou can choose to take  only. Learn more.",csr00018,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,PwC,spc00003,
18,Creating Dashboards and Storytelling with Tableau,http://www.coursera.org/specializations/data-visualization,"Leveraging the visualizations you created in the previous course, Visual Analytics with  Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to... moreYou can choose to take  only. Learn more.",csr00019,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,PwC,spc00003,
19,Data Visualization with Tableau Project,http://www.coursera.org/specializations/data-visualization,"About the Capstone ProjectIn this project-based course, you will follow your own interests to create a portfolio  worthy single-frame viz or multi-frame data story that will be shared on Tableau Public. You will use all the skills taught in this Specialization to compl... moreYou can choose to take  only. Learn more.",csr00020,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,PwC,spc00003,
20,Data Visualization,http://www.coursera.org/specializations/data-mining,"Learn the general concepts of data mining along with basic methodologies and  applications. Then dive into one subfield in data mining: pattern discovery. Learn in-depth concepts, methods, and applications of pattern discovery in data mi... moreYou can choose to take  only. Learn more.",csr00021,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, Davis",spc00004,
21,Text Retrieval and Search Engines,http://www.coursera.org/specializations/data-mining,"Recent years have seen a dramatic growth of natural language text data, including web  pages, news articles, scientific literature, emails, enterprise documents, and social media such as blog articles, forum posts, product reviews, and tweets. Text ... moreYou can choose to take  only. Learn more.",csr00022,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, Davis",spc00004,
22,Text Mining and Analytics,http://www.coursera.org/specializations/data-mining,"will cover the major techniques for mining and analyzing text data to  discover interesting patterns, extract useful knowledge, and support decision making, with an emphasis on statistical approaches that can be generally applied to a... moreYou can choose to take  only. Learn more.",csr00023,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, Davis",spc00004,
23,Pattern Discovery in Data Mining,http://www.coursera.org/specializations/data-mining,"Learn the general concepts of data mining along with basic methodologies and  applications. Then dive into one subfield in data mining: pattern discovery. Learn in-depth concepts, methods, and applications of pattern discovery in data mi... moreYou can choose to take  only. Learn more.",csr00024,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, Davis",spc00004,
24,Cluster Analysis in Data Mining,http://www.coursera.org/specializations/data-mining,"Discover the basic concepts of cluster analysis, and then study a set of typical  clustering methodologies, algorithms, and applications. This includes partitioning methods such as k-means, hierarchical methods such as BIRCH, and density-based... moreYou can choose to take  only. Learn more.",csr00025,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, Davis",spc00004,
25,Data Mining Project,http://www.coursera.org/specializations/data-mining,"About the Capstone ProjectNote: You should complete all the other courses in this Specialization before beginning  .This six-week long Project course of the Data Mining Specialization will allow you to apply the learned algorithms and techniques for data mining ... moreYou can choose to take  only. Learn more.",csr00026,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, Davis",spc00004,
26,Introduction to Big Data,http://www.coursera.org/specializations/big-data,Interested in increasing your knowledge of the Big Data landscape?   is for  those new to data science and interested in understanding why the Big Data Era has come to be.  It is for those who want to become conversant with the terminology and ... moreYou can choose to take  only. Learn more.,csr00027,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Johns Hopkins University,spc00005,
27,Big Data Modeling and Management Systems,http://www.coursera.org/specializations/big-data,"Once youve identified a big data issue to analyze, how do you collect, store and  organize your data using Big Data solutions?  , you will experience various data genres and management tools appropriate for each.  You will be... moreYou can choose to take  only. Learn more.",csr00028,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Johns Hopkins University,spc00005,
28,Big Data Integration and Processing,http://www.coursera.org/specializations/big-data,"At the end of the course, you will be able to:*Retrieve data from example database and  big data management systems*Describe the connections between data management operations and the big data processing patterns needed to utilize them in lar... moreYou can choose to take  only. Learn more.",csr00029,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Johns Hopkins University,spc00005,
29,Machine Learning With Big Data,http://www.coursera.org/specializations/big-data,"Want to make sense of the volumes of data you have collected?  Need to incorporate  data-driven decisions into your process?   provides an overview of machine learning techniques to explore, analyze, and leverage data.  You will be intro... moreYou can choose to take  only. Learn more.",csr00030,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Johns Hopkins University,spc00005,
30,Graph Analytics for Big Data,http://www.coursera.org/specializations/big-data,Want to understand your data network structure and how it changes under different  conditions? Curious to know how to identify closely interacting clusters within a graph? Have you heard of the fast-growing area of graph analytics and want ... moreYou can choose to take  only. Learn more.,csr00031,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Johns Hopkins University,spc00005,
31,Big Data - Capstone Project,http://www.coursera.org/specializations/big-data,"About the Capstone ProjectWelcome to the Capstone Project for Big Data! In this culminating project, you will  build a big data ecosystem using tools and methods form the earlier courses in this specialization. You will analyze a data set simulating big data generated from... moreYou can choose to take  only. Learn more.",csr00032,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,Johns Hopkins University,spc00005,
32,Introduction to Data Science in Python,http://www.coursera.org/specializations/data-science-python,"will introduce the learner to the basics of the python programming  environment, including how to download and install python, expected fundamental python programming techniques, and how to find help with python programming questi... moreYou can choose to take  only. Learn more.",csr00033,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,University of Illinois at Urbana-Champaign,spc00006,
