special_id,name,provenance,courseList
spc00057,"Algorithms, Part I",Princeton University,"csr00575, csr00576, csr00577, csr00578"
spc00058,Web Applications for Everybody,University of Michigan,"csr00595, csr00596, csr00597, csr00598"
spc00059,Building Web Applications in PHP,University of Michigan,"csr00599, csr00600, csr00601, csr00602, csr00603"
spc00060,Python for Everybody,University of Michigan,"csr00604, csr00605, csr00606, csr00607, csr00608"
spc00061,Using Python to Access Web Data,University of Michigan,"csr00609, csr00610, csr00611, csr00612, csr00613, csr00614"
spc00062,Web Application Development: Basic Concepts,University of New Mexico,"csr00615, csr00616, csr00617, csr00618, csr00619"
spc00063,Web Design for Everybody (Basics of Web Development and Coding),University of Michigan,"csr00620, csr00621, csr00622, csr00623, csr00624, csr00625"
spc00064,Introduction to Discrete Mathematics for Computer Science,"Higher School of Economics, University of California, San Diego","csr00640, csr00641, csr00642, csr00643, csr00644"
spc00065,Mathematical Foundations for Cryptography,University of Colorado System,"csr00645, csr00646, csr00647, csr00648"
spc00066,Applied Cryptography,University of Colorado System,"csr00667, csr00668, csr00669, csr00670"
spc00067,Cryptographic Hash and Integrity Protection,University of Colorado System,"csr00671, csr00672, csr00673, csr00674, csr00675, csr00676, csr00677"
spc00068,Global Challenges in Business,University of Illinois at Urbana-Champaign,"csr00678, csr00679, csr00680, csr00681, csr00682, csr00683"
spc00069,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,"csr00684, csr00685, csr00686, csr00687, csr00688"
spc00070,Responsive Website Development and Design,"University of London, Goldsmiths, University of London","csr00689, csr00690, csr00691, csr00692, csr00693"
spc00071,Practical Machine Learning,Johns Hopkins University,"csr00694, csr00695, csr00696, csr00697, csr00698"
spc00072,Introduction to the Internet of Things and Embedded Systems,"University of California, Irvine","csr00713, csr00714, csr00715, csr00716, csr00717, csr00718"
spc00073,A developer's guide to the Internet of Things (IoT),IBM,"csr00719, csr00720, csr00721, csr00722, csr00723, csr00724, csr00725, csr00726, csr00727, csr00728"
spc00074,Cybersecurity Policy for Aviation and Internet Infrastructures,University of Colorado System,"csr00729, csr00730, csr00731, csr00732, csr00733"
spc00075,Internet of Things: How did we get here?,"University of California, San Diego","csr00734, csr00735, csr00736, csr00737"
spc00076,Master of Business Administration (iMBA),,"csr00754, csr00755, csr00756, csr00757, csr00758, csr00759, csr00760"
spc00077,Master's in Innovation and Entrepreneurship,,"csr00761, csr00762, csr00763, csr00764"
spc00078,Professional Certificate in Innovation Management and Entrepreneurship,,"csr00765, csr00766, csr00767, csr00768"
spc00079,Managerial Economics and Business Analysis ,University of Illinois at Urbana-Champaign,"csr00769, csr00770, csr00771, csr00772, csr00773, csr00774, csr00775"
spc00080,Strategic Business Analytics,ESSEC Business School,"csr00776, csr00777, csr00778, csr00779, csr00780"
spc00081,Excel Skills for Business,Macquarie University,"csr00781, csr00782, csr00783, csr00784"
spc00082,Global Challenges in Business,University of Illinois at Urbana-Champaign,"csr00785, csr00786, csr00787, csr00788"
spc00083,Statistical Molecular Thermodynamics,University of Minnesota,"csr00825, csr00826, csr00827, csr00828"
spc00084,Statistical Thermodynamics: Molecules to Machines,Carnegie Mellon University,"csr00829, csr00830, csr00831, csr00832, csr00833, csr00834, csr00835"
spc00085,Social Media Marketing,Northwestern University,"csr00838, csr00839, csr00840, csr00841, csr00842, csr00843"
spc00086,Social Media Data Analytics,Rutgers the State University of New Jersey,"csr00844, csr00845, csr00846"
spc00087,What is Social?,Northwestern University,"csr00847, csr00848, csr00849, csr00850, csr00851"
spc00088,Design Patterns,University of Alberta,"csr00855, csr00856, csr00857, csr00858, csr00859"
spc00089,Fashion as Design,The Museum of Modern Art,"csr00860, csr00861, csr00862, csr00863, csr00864, csr00865, csr00866, csr00867"
spc00090,Graphic Design,California Institute of the Arts,"csr00868, csr00869, csr00870, csr00871, csr00872"
spc00091,Introduction to User Experience Design ,Georgia Institute of Technology,"csr00873, csr00874, csr00875, csr00876, csr00877"
spc00092,Cryptography and Information Theory,University of Colorado System,"csr00878, csr00879, csr00880, csr00881, csr00882"
spc00093,Academic Information Seeking,"University of Copenhagen, Technical University of Denmark (DTU)","csr00883, csr00884, csr00885, csr00886, csr00887, csr00888, csr00889, csr00890"
spc00094,Metaliteracy: Empowering Yourself in a Connected World,The State University of New York,"csr00891, csr00892, csr00893, csr00894, csr00895"
spc00095,Mindware: Critical Thinking for the Information Age ,University of Michigan,"csr00896, csr00897, csr00898, csr00899, csr00900"
spc00096,Business Analytics,University of Pennsylvania,"csr00901, csr00902, csr00903, csr00904"
spc00097,Introduction to Complex Analysis,Wesleyan University,"csr00920, csr00921, csr00922, csr00923, csr00924"
spc00098,Analysis of Algorithms,Princeton University,"csr00925, csr00926, csr00927, csr00928, csr00929"
spc00099,Data Analysis and Presentation Skills: the PwC Approach,PwC,"csr00930, csr00931, csr00932, csr00933, csr00934"
spc00100,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz","csr00935, csr00936, csr00937, csr00938, csr00939, csr00940, csr00941"
spc00101,Business Statistics and Analysis,Rice University,"csr00942, csr00943, csr00944, csr00945, csr00946"
spc00102,"Internet History, Technology, and Security",University of Michigan,"csr00962, csr00963, csr00964, csr00965, csr00966, csr00967"
spc00103,The Impact of Technology,EIT Digital ,"csr00968, csr00969, csr00970, csr00971, csr00972, csr00973"
spc00104,Get Interactive: Practical Teaching with Technology,"University of London, Bloomsbury Learning Environment","csr00974, csr00975, csr00976, csr00977, csr00978, csr00979, csr00980, csr00981, csr00982, csr00983"
spc00105,Fundamentals of Network Communication,University of Colorado System,"csr01001, csr01002, csr01003, csr01004"
spc00106,Network Protocols and Architecture,Cisco,"csr01005, csr01006, csr01007, csr01008, csr01009"
spc00107,Digital Marketing,University of Illinois at Urbana-Champaign,"csr01028, csr01029, csr01030, csr01031, csr01032, csr01033, csr01034"
spc00108,Introduction to Marketing,University of Pennsylvania,"csr01035, csr01036, csr01037, csr01038, csr01039, csr01040"
