"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"BUAD 280","BUAD 280 Introduction to Financial Accounting","Emphasis on understanding financial statements and the impact of business transactions on information presented to management and interested stakeholders .","","","","","BUAD 250;BUAD 250;BUAD 285;BUAD 286;BUAD 286;BUAD 305","csr00919/0.647;csr01036/0.6075;csr01893/0.486;csr00310/0.323;csr00881/0.323;csr01870/0.323;csr00964/0.301;csr02533/0.301"
"BUAD 281","BUAD 281 Introduction to Managerial Accounting","An emphasis on how accounting information , combined with a variety of techniques and best practices , supports enhanced management decision making . ","BUAD 280","","","","BUAD 285;BUAD 285;BUAD 286;BUAD 305","csr00919/0.3485;csr01036/0.31599999999999995;csr01886/0.313;csr01887/0.3075"
"BUAD 302","BUAD 302T Communication Strategy in Accounting","Theory , practices , and techniques essential to communication in accounting . Interpersonal and group communication ; oral presentations ; writing ; use of communication technologies ; communication strategies for varied audiences .","","","","","BUAD 302",""
"BUAD 304","BUAD 304 Organizational Behavior and Leadership","The role of leadership in business organizations ; concepts and skills for managing oneself and others .","","","","","","csr02516/0.456;csr01815/0.424;csr01800/0.3875"
"BUAD 306","BUAD 306 Business Finance","Financial problems of business enterprise ; function of financial manager ; sources of funds ; instruments , institutions , and practices of finance ; problems of financial management using case studies . ","ACCT 410;BUAD 280;BUAD 285;BUAD 286;BUAD 305;ECON 351","","","ECON 352;BUAD 310","BUAD 215","csr01840/0.4015;csr00964/0.349;csr02533/0.349;csr01038/0.3295"
"BUAD 307","BUAD 307 Marketing Fundamentals","Develops a managerial viewpoint in planning and evaluating marketing decisions of the firm : products , pricing , channels , promotion , information processing , legal implications , and marketing in contemporary society .","","","","","MKT 385","udc00198/0.4835;csr01049/0.42100000000000004;csr01825/0.3665;csr01831/0.33999999999999997;csr01891/0.33699999999999997;csr01035/0.319;csr01834/0.3125"
"BUAD 310","BUAD 310g Applied Business Statistics","Statistical methods for business analysis ; data exploration and description ; sampling distributions ; estimation ; hypothesis testing , simple and multiple regression ; model building . Extensive computer applications .","","","","","ITP 251","csr01601/0.3725;csr00706/0.35500000000000004;csr00837/0.332;csr00693/0.31599999999999995;csr00929/0.31599999999999995;csr01589/0.31599999999999995;csr00692/0.313;csr00928/0.313;csr01588/0.313;udc00167/0.306"
"BUAD 311","BUAD 311T Operations Management for Accounting Majors","Learn the fundamentals of operations management and acquire skills to analyze , measure , control and improve production processes .","","","","","BUAD 311","csr01888/0.379;csr01039/0.368"
"BUAD 497","BUAD 497 Strategic Management","Examination of managerial decision-making , planning , and policy under changing environments ; readings , cases , exercises , simulations . ","ACCT 410;BUAD 281;BUAD 285;BUAD 286;BUAD 305;BUAD 304;BUAD 307;BUAD 215;BUAD 306;BUAD 302;BUAD 302","","","BUAD 311;BUAD 311","","csr00705/0.3955;csr02137/0.3905;csr02595/0.384;csr02209/0.3575;csr02092/0.3475;csr00702/0.3115;csr00703/0.3115"
"ECON 351","ECON 351x Microeconomics for Business","Development and business applications of : theory of the firm ; theory of the consumer ; intertemporal decisions ; decisions under risk ; market failures ; industrial and enterprise structure . Not for major credit for : economics , economics/mathematics , social sciences (economics) majors . ","MATH 118;MATH 125;MATH 126;MATH 226","","","ECON 352","ECON 251","csr00702/0.391"
"ECON 352","ECON 352x Macroeconomics for Business","Theoretical development and significance to business and markets of economic growth ; inflation ; unemployment ; monetary and fiscal policy ; business cycles ; savings and investment ; exchange rates .","","ECON 351","","","ECON 252","csr00703/0.391"
"MATH 118","MATH 118gx Fundamental Principles of Calculus","Derivatives ; extrema . Definite integral ; fundamental theorem of calculus . Extrema and definite integrals for functions of several variables . ","MATH 108;MATH 117","","","","",""
"MATH 125","MATH 125g Calculus I","Limits ; continuity , derivatives and applications ; antiderivatives ; the fundamental theorem of calculus ; exponential and logarithmic functions . ","MATH 108","","","","","csr01552/0.4205;csr01816/0.3835;csr00652/0.314;csr01709/0.309;csr00476/0.3065"
"ACCT 370","ACCT 370 External Financial Reporting Issues","Understanding of decision-making , problem solving , and research skills as a supplement to financial accounting knowledge for accounting professionals . ","BUAD 281;BUAD 285;BUAD 286;BUAD 305","","","","ACCT 370",""
"ACCT 371","ACCT 371 Introduction to Accounting Systems","Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting , auditing and taxation . ","BUAD 281;BUAD 285;BUAD 286;BUAD 305","","","","ACCT 371","csr01036/0.49050000000000005;csr00919/0.43700000000000006;csr00310/0.40800000000000003;csr00881/0.40800000000000003;csr01870/0.40800000000000003;csr01893/0.371;csr00964/0.3255;csr02533/0.3255"
"ACCT 372","ACCT 372 Internal Reporting Issues","Understanding of decision-making , problem solving , and research skills as a supplement to managerial accounting knowledge for accounting professionals . ","BUAD 281;BUAD 285;BUAD 286;BUAD 305","","","","",""
"ACCT 373","ACCT 373 Introduction to Auditing and Assurance Services","Exploration of the requisite skills and knowledge needed to offer services in assurance , attestation or auditing engagements . ","ACCT 370;ACCT 371","","","","",""
"ACCT 374","ACCT 374 Introduction to Tax Issues","Basic tax principles , introduction to U .S . federal , state and local tax systems , income and expense definitions , property transactions , and fundamentals of individual taxation . ","BUAD 281;BUAD 285;BUAD 286;BUAD 305","","","","",""
"ACCT 377","ACCT 377 Valuation for Financial Statement Purposes","Explores Accounting Standards Codification (ASC) 820 “Fair Value Measurements and Disclosures” and reviews the historical background of US GAAP fair value guidance . ","ACCT 370","","","","",""
"ACCT 430","ACCT 430 Accounting Ethics","Theoretical knowledge and practical application accountants need to identify ethical issues and reconcile conflicts among competing stakeholders’ interests in all major areas of accounting practice . ","ACCT 372;ACCT 373;ACCT 374;ACCT 377","","","","","csr01893/0.32;csr00310/0.31;csr00881/0.31;csr01870/0.31"
"ACCT 470","ACCT 470 Advanced External Financial Reporting Issues","Develop capabilities to identify and resolve advanced external financial reporting challenges , focusing primarily on operating , financing , and investing activities of business enterprises . ","ACCT 370","","","ACCT 377","ACCT 470",""
"ACCT 473","ACCT 473 Financial Statement Auditing","Course builds on the background developed in ACCT 373  , specifically the process used by external auditors to conduct financial statement audits . ","ACCT 373","","","","",""
"ACCT 474","ACCT 474 Tax Issues for Business","Capabilities to identify and articulate tax issues related to a business entity’s life : formation , investing , financing and operations , and change of form . ","ACCT 374","","","","ACCT 451",""
"ACCT 416","ACCT 416 Financial Reporting and Analysis","Examination of the role of financial statement analysis in the prediction of a firm’s future financial performance . ","BUAD 215;BUAD 306;ACCT 370;ACCT 415","","","","","csr01862/0.35050000000000003;csr01036/0.3265;csr00919/0.3255"
"ACCT 462","ACCT 462 Detecting Fraudulent Financial Reporting","Understanding/identifying methods of fraudulent financial reporting , and signals that financial statements were fictitiously prepared ; major frameworks for analyzing ethical dilemmas ; reforms in corporate reporting environment . ","ACCT 370;ACCT 415","","","","",""
"ACCT 463","ACCT 463 Internal Audit","Examination of internal audit/auditors and their relationship to management , the investors , the regulators , and the external auditors . ","ACCT 370;ACCT 373","","","","",""
"ACCT 471","ACCT 471 Accounting Information Systems","Issues related to the design , control , and implementation of accounting information systems . ","ACCT 371","","","","","csr00911/0.385;csr01893/0.336;csr00310/0.3275;csr00881/0.3275;csr01870/0.3275;csr00910/0.315;csr00919/0.311"
"ACCT 472","ACCT 472 Managerial Accounting","Understanding of systems providing cost information useful in management decision-making and problem solving . ","ACCT 372","","","","","csr01886/0.3095"
"ACCT 475","ACCT 475 Systems Security and Audit","Issues related to the security , control , and auditing of accounting information systems . ","ACCT 371","","","","","udc00098/0.35750000000000004"
"ACCT 476","ACCT 476 Performance Measurement Issues","Introduction to understanding how management control systems can enhance achievement of the organization’s objectives and strategies . ","ACCT 410;BUAD 281;BUAD 285;BUAD 286;BUAD 305","","","","","khn00004/0.3045;khn00014/0.3045;khn00024/0.3045;khn00034/0.3045;khn00044/0.3045;khn00054/0.3045;khn00064/0.3045;khn00074/0.3045"
"ACCT 477","ACCT 477 Intermediate Fair Value Issues in Accounting","Develops the ability to identify and understand new areas of emerging guidance involving fair value issues and to recognize and demonstrate appropriate application of methodologies . ","ACCT 377","","","","",""
"ACCT 478","ACCT 478 Accounting Systems Design","Explores the design of accounting systems . Introduction to tools and techniques for analyzing and designing accounting systems with an emphasis on system controls and reporting . ","ACCT 371","","","","","csr00310/0.3925;csr00881/0.3925;csr01870/0.3925;csr01893/0.3585;csr00956/0.328;csr01036/0.3265;csr00919/0.312"
"ACCT 479","ACCT 479 Accounting Systems Development","Examines the fundamentals of accounting systems development . Introduction to the concepts of implementation and support , with emphasis on system quality assurance , evaluation and attestation . ","ACCT 478","","","","ACCT 454","csr01893/0.321;csr00310/0.316;csr00881/0.316;csr01870/0.316"
"ACCT 493","ACCT 493 Leventhal Honors Research Seminar","Provides the methodological tools to identify research problems , develop researchable hypotheses , apply appropriate methodologies , conduct research , derive meaningful conclusions from data , write a research proposal .","","","","","",""
"THTR 105","THTR 105 Introduction to Screen Acting","Introduction to the theoretical and foundational practices , techniques and strategies specific to screen acting in relation to the basic dynamics of acting for the stage . ","THTR 101;THTR 152;THTR 252","","","","",""
"THTR 115","THTR 115a Movement I","Basic training for the actor’s body for expression and communication . Awareness and control through mind-body techniques .","","","","THTR 120;THTR 140","THTR 115",""
"THTR 120","THTR 120aL Acting I","Basic principles and techniques of acting through theatre games and improvisation . Introduction to contemporary texts , basic characterization and cold reading techniques .","","","","THTR 115;THTR 140","",""
"THTR 130","Introduction to Theatrical Production","Introduction to the nonperformance areas of theatrical production (administrative , design , and technical fields) through hands-on participation in USC productions .","","","","","",""
"THTR 140","THTR 140a Voice I","Physiological mechanism of voice : breath control , phonation , resonance , articulation of language for the stage ; expressive use of stress , intonation and rhythm .","","","","THTR 115;THTR 120","",""
"THTR 215","Movement II","Training of the actor’s body with focus on development of precision and strength . ","THTR 115","","","THTR 220;THTR 240","",""
"THTR 220","Intermediate Acting I","Continuing development of imagination leading to an increased range of dramatic expression through the formalized text of William Shakespeare . ","THTR 120","","","","",""
"THTR 240","Voice II","Development of the voice using material which explores the techniques of Shakespeare and his contemporaries . ","THTR 140","","","THTR 215;THTR 220","",""
"THTR 250","THTR 250 Camera and Improvisation","Understanding on-camera acting and improvisation by creating original material both in front and behind the camera . ","THTR 220;THTR 252","","","","","khn00951/0.3095;khn00971/0.3095;khn00961/0.305;khn00981/0.305;khn00991/0.305;khn01001/0.305;khn01011/0.305;khn01021/0.305;khn00956/0.3015;khn00966/0.3015"
"THTR 305","Directing","Examination of basic directorial principles . Pre-production analysis and rehearsal procedures ; relationship of the director to actor ; integration of technical aspects of production .","","","","","",""
"THTR 315","Physical Theatre I","Actor training anchored by rigorous physical movements . Activities include comedy , clowning , juggling , and mask work .","","","","","",""
"THTR 320","Intermediate Acting II","Further development of range and breadth of performance skills with emphasis on texts of heightened language and style .","","","","THTR 315;THTR 340","",""
"THTR 340","Intermediate Voice","Extended development of vocal freedom and range , acquisition of articulate speech . Enhancement of vocal power and resonance , techniques for performing with a dialect .","","","","","",""
"THTR 397","THTR 397 Theatre Practicum","Substantive participation in productions sponsored by the school and supervised by the faculty .","","","","","",""
"THTR 410","THTR 410 The Digital Actor","Empowers the student to forge a career in acting by managing and utilizing the many facets of social and digital media . ","THTR 101;THTR 152;THTR 252;THTR 252","","","","",""
"THTR 411","THTR 411 The Business of Acting","Develops the student’s ability to connect and combine managerial , economic and business-related skills with the craft and career of acting . ","THTR 101;THTR 152;THTR 252;THTR 252","","","","",""
"THTR 415","THTR 415 Physical Theatre II","Advanced Physical Acting focusing on principles of verbal/non-verbal improvisation and communication . Elements of textual analysis , including development of character mask and of the ensemble . ","THTR 315","","","","THTR 415",""
"THTR 420","THTR 420a Senior Project","Contemporary material from plays and screenplays with an emphasis on individual challenges and problems . ","THTR 320","","","","",""
"THTR 427","THTR 427 Audition Technique for Film , Television and New Media","Develop on-camera auditioning skills for actors at a professional level in a variety of film , television , and new media venues . ","THTR 101;THTR 252","","","","",""
"THTR 440","THTR 440 Advanced Voice","Continuation of exercises related to the individual student for the stage . ","THTR 340","","","","THTR 440",""
"THTR 464","THTR 464 An Actor's Reel","Using original and existing scripted material for film , television and new media students will act , film and edit scenes to form a professional performance reel . ","THTR 252;THTR 320","","","","",""
"THTR 467","THTR 467 Going Viral : Performance for New Media","A writing and performance course (partially online) for new media . Students will learn to create original short form and web series content for new media including YouTube , Funny or Die , Periscope and other Internet platforms .","","","","","",""
"THTR 471","Senior Showcase","Designed to provide the graduating students with an opportunity to select , prepare and perform for agents , directors and producers in film , television and theatre . Audition required .","","","","","",""
"THTR 475","THTR 475 Acting on Camera : The Collaborative Process","Acting students will learn to develop on-camera acting skills and to collaborate with student directors and cinematographers from the School of Cinematic Arts .","","","","","",""
"THTR 480","THTR 480a Performance for Camera","Structured to address the dynamics of acting in relation to film/television . Refining the students’ understanding of the similarities/differences between acting on stage/film .","","","","","THTR 480",""
"THTR 497","THTR 497 Advanced Theatre Practicum","Intensive participation in a production sponsored by the school and supervised by the faculty , to increase and develop artistic growth . ","THTR 397","","","","",""
"THTR 125","THTR 125 Text Studies for Production","Focuses on the questions , artistic choices , methodologies , and approaches of an actor/director/designer in the preparation of a production score prior to rehearsal .","","","","","",""
"THTR 225","THTR 225g Theatre Across History and Cultures","The analysis of a range of plays from different times and cultures with a consideration of the roles of actor , director , dramaturg and designer .","","THTR 125","","","",""
"THTR 310","THTR 310 Comedy and Diversity","Issues of diversity are central to the societal function of comedy . Students will explore the techniques , structures and performance of sitcoms , sketch comedy and stand-up .","","THTR 125;THTR 225","","","",""
"THTR 312","THTR 312 LGBTQ Theatre","Explores the range and genealogy of LGBTQ theatre and performance across political , historical , and theatrical contexts . ","THTR 225","","","","",""
"THTR 395","THTR 395m Drama as Human Relations","A focus on American ethnic and multicultural diversity from the perspectives of gender , race , and myth as revealed in plays , film , and other performance media .","","","","","",""
"THTR 405","THTR 405m Performing Identities","This course explores the live performance medium as a creative means of social redress and personal expression .","","","","","THTR 393",""
"THTR 406","Theatre on the Edge","An exploration of the art of theatre at the edge of possibilities .","","","","","",""
"THTR 456","THTR 456 Latinx Theatre","Explores the range and genealogy of Latinx theatre and performance from its origins in the last fifty years to the present . ","THTR 225","","","","",""
"THTR 460","THTR 460 Asian and Asian American Theatre : Identity and Aesthetics","Explores Asian and Asian Amerian theatre , from the historical to the contemporary , with an aim toward understanding issues of aesthetics , acculturation , and identity . ","THTR 225","","","","",""
"THTR 476","THTR 476mw African American Theatre , Dance , and Performance","A survey of African American theatre and cultural performance traditions as a reflection of both African American culture and American history .","","","","","",""
"THTR 301","THTR 301 Greek and Roman Theatre","Examines the function of theatre , production and acting conventions , and the drama of classical Greece and Rome .","","THTR 125;THTR 201","","","THTR 213",""
"THTR 302","THTR 302 Shakespeare in His World","The plays and theatre of Shakespeare , the influences on his work and his contemporary world .","","THTR 201;THTR 210;THTR 211","","","THTR 214",""
"THTR 313","Comedy of Manners","Study of the development of Comedy of Manners , with primary focus on Restoration Comedy of Manners .","","THTR 201;THTR 210;THTR 211","","","",""
"THTR 314","Advanced Topics in Modern Drama","20th century realism and the avant-garde .","","THTR 201;THTR 210;THTR 211","","","",""
"THTR 400","THTR 400 Eco-Theatre : Art and Science in Contemporary Plays","Explores theatre artists’ responses to the growing environmental crisis and provides a model for the intersection of theatre and other disciplines . ","THTR 225","","","","",""
"THTR 401","THTR 401 Contemporary Theatre in a Changing World","Explores the bold approaches that characterize the best of contemporary theatre , as well as the artists who are groundbreakers in a changing world .","","","","","",""
"THTR 403","THTR 403 The Performing Arts","An interdisciplinary inquiry into the aesthetics of the performing arts . Examines a dramatic classic and its adaptation into musical theatre , opera , ballet , and film .","","","","","THTR 303",""
"THTR 404","Acting Theory","Examination of the theoretical foundations of acting as an art form through the reading of primary historical texts .","","","","","",""
"WRIT 150","WRIT 150 Writing and Critical Reasoning–Thematic Approaches","Academic writing , emphasizing analysis and argumentation , rhetorical judgment , critical reasoning , creative insight , the careful use of evidence , ethical perspectives , logical organization , stylistic and grammatical fluency .","","","","","WRIT 130;WRIT 140",""
"WRIT 340","Advanced Writing","Instruction in writing for various audiences on topics related to a student’s professional or disciplinary interests , with some emphasis on issues of broad public concern . ","WRIT 130;WRIT 150","","","","","csr01505/0.551;csr00792/0.319;csr02003/0.3135;csr02003/0.3135"
"MATH 126","Calculus II","A continuation of MATH 125  : trigonometric functions ; applications of integration ; techniques of integration ; indeterminate forms ; infinite series ; Taylor series ; polar coordinates . ","MATH 125","","","","","csr01709/0.3095"
"MATH 127","MATH 127 Enhanced Calculus II","Applications of integration , review of techniques of integration , infinite sequences and series , some beginning linear algebra , ordinary differential equations . Designed for students who earn a score of 4 or 5 on the Advanced Placement Calculus AB Examination , or a score of 3 or 4 on the BC Examination . Admission to course by departmental approval .","","","","","MATH 126",""
"MATH 129","MATH 129 Calculus II for Engineers and Scientists","Trigonometric functions ; applications of integration ; techniques of integration ; indeterminate forms ; infinite series ; Taylor series ; polar coordinates . Engineering and physics applications . ","MATH 125","","","","MATH 126;MATH 127",""
"MATH 226","Calculus III","A continuation of MATH 126  ; vectors , vector valued functions ; differential and integral calculus of functions of several variables ; Green’s theorem . ","MATH 126;MATH 127","","","","",""
"MATH 227","MATH 227 Enhanced Calculus III","A continuation of MATH 127  ; vectors and vector spaces functions of several variables , partial differential equations , optimization theory , multiple integration ; Green’s Stokes’ , divergence theorems . ","MATH 127;MATH 225","","","","MATH 226",""
"MATH 229","MATH 229 Calculus III for Engineers and Scientists","A continuation of MATH 129  ; vectors , vector valued functions ; differential and integral calculus of functions of several variables ; Green’s theorem . Engineering and physics applications . ","MATH 126;MATH 127;MATH 129","","","","MATH 226;MATH 227",""
"MATH 245","Mathematics of Physics and Engineering I","First-order differential equations ; second-order linear differential equations ; determinants and matrices ; systems of linear differential equations ; Laplace transforms . ","MATH 226;MATH 227","","","","",""
"PHYS 151","PHYS 151Lg Fundamentals of Physics I : Mechanics and Thermodynamics","Gateway to the majors and minors in Physics and Astronomy . Statics and dynamics of particles and rigid bodies , conservation principles , gravitation , simple harmonic oscillators , thermodynamics , heat engines , entropy . ","MATH 125;MATH 126;MATH 226","","","","",""
"PHYS 161","PHYS 161Lg Advanced Principles of Physics I","Gateway to the majors and minors in Physics and Astronomy . Introductory treatment intended for well-qualified students . Dynamics of particles and rigid bodies , conservation laws , wave motion , thermodynamics , heat engines , entropy . ","MATH 126","","","MATH 226","",""
"PHYS 152","PHYS 152L Fundamentals of Physics II : Electricity and Magnetism","Electrostatics , magnetostatics , electrical circuits , wave motion , sound waves , electromagnetic waves . ","PHYS 151;MATH 126","","","MATH 226","",""
"PHYS 162","PHYS 162L Advanced Principles of Physics II","Electrostatics , magnetostatics , electrical circuits , electric and magnetic properties of matter , Maxwell’s equations , electromagnetic waves , propagation of light . ","MATH 226;PHYS 161","","","","",""
"PHYS 153","PHYS 153 L Fundamentals of Physics III : Optics and Modern Physics","Geometrical optics , interference , diffraction , special relativity , quantum mechanics , atomic physics , solid state physics . ","PHYS 152","","","","","udc00162/0.3765"
"PHYS 163","PHYS 163L Advanced Principles of Physics III","Interference and diffraction of waves , special relativity , quantum mechanics , atomic physics , nuclear physics , condensed matter physics , elementary particles . ","PHYS 162","","","","","udc00162/0.35750000000000004"
"CHEM 105","CHEM 105aLg General Chemistry","Fundamental principles and laws of chemistry ; laboratory work emphasizes quantitative procedures . ","CHEM 050","","","","CHEM 115;CHEM 115",""
"CHEM 115","CHEM 115aLg Advanced General Chemistry","Equivalent to CHEM 105a   -CHEM 105b   , but taught at a higher level for exceptionally well-prepared students .","","","","","CHEM 105;CHEM 105",""
"MASC 110","MASC 110 L Materials Science","Chemical bonding and structure in crystalline , amorphous , and molecular solids ; tendency and mechanisms for chemical change ; homogeneous and heterogeneous equilibria . ","","","","","",""
"AME 105","Introduction to Aerospace Engineering","Gateway to the Aerospace Engineering major . Introduction to flight vehicle performance and propulsion . Elements of the physics of gases . Laboratory : computers and graphics ; model rocket and glider test flights .","","","","","",""
"AME 201","AME 201 Statics","Analysis of forces acting on particles and rigid bodies in static equilibrium ; equivalent systems of forces ; friction ; centroids and moments of inertia ; introduction to energy methods . ","MATH 125;PHYS 151;AME 101","","ACAD 203","","",""
"AME 204","AME 204 Strength of Materials","Stress , strain and deflection of mechanical elements due to tension , shear , bending , or torsion ; combined loads ; energy methods , statically indeterminate structures ; strength-based design . ","AME 201;CE 205","","ACAD 204","","",""
"AME 231","AME 231L Mechanical Behavior of Materials","Material properties of metals , ceramics , and composites ; stress-strain relationships ; microstructural characteristics ; fracture , fatigue , and creep ; effects of processing .","","","ACAD 231","AME 204","",""
"AME 261","AME 261 Basic Flight Mechanics","Performance of flight vehicles ; maximum speed , rate-of-climb , range , and endurance ; basic stability and control , weight , and balance ; computer exercises .","","ITP 168","","","",""
"AME 301","AME 301 Dynamics","2-D and 3-D kinematics and dynamics of particles and rigid bodies ; systems of particles and rigid bodies ; coupled rigid bodies ; introduction to vibrations . ","AME 201;CE 205;PHYS 151","","ACAD 301","","",""
"AME 302","AME 302 Dynamic Systems","Modeling of lumped parameter elements and systems ; free and forced response of first and second order systems ; design oriented approach to dynamic systems . ","MATH 245;AME 309;CE 309;AME 301;CE 325","","","","",""
"AME 308","Computer-Aided Analyses for Aero-Mechanical Design","Introduction to the finite element method ; practical application of computer analysis tools for structural analysis and design . ","AME 204","","","AME 301","",""
"AME 309","AME 309 Dynamics of Fluids","Fluid statics ; conservation of mass , momentum , and energy in integral and differential form ; applications . Laminar and turbulent pipe flow ; compressible flow ; potential flow over bodies . ","AME 201;AME 310;MATH 245","","","","",""
"AME 310","AME 310 Engineering Thermodynamics I","Fundamental laws of thermodynamics applied to actual and perfect gases and vapors ; energy concepts , processes , and applications . ","MATH 226;MATH 227;MATH 229;PHYS 151","","","","",""
"AME 341","AME 341aL Mechoptronics Laboratory I and II","A coordinated laboratory and lecture sequence on aeromechanical instrumentation and device control stressing the symbiotic integration of mechanical , optical and electronic components . ","PHYS 152;PHYS 162;MATH 126;MATH 127;MATH 129","","","","",""
"AME 436","Energy and Propulsion","Performance and analysis of reciprocating , jet , rocket engines , and hybrid systems . Characteristics of inlets , compressors , combustors , turbines , nozzles and engine systems . Energy and environmental problems . ","AME 310;AME 309;CE 309","","","","",""
"AME 441","AME 441a L Senior Projects Laboratory","Individual engineering projects designed and constructed to model and test a physical principle or system . ","AME 341","","","","",""
"AME 451","AME 451 Linear Control Systems I","Transform methods , block diagrams ; transfer functions ; stability ; root-locus and frequency domain analysis and design ; state space and multiloop systems . ","AME 302;MATH 245","","","","EE 482",""
"AME 481","AME 481 Aircraft Design","Aircraft design and analysis , design requirements and specifications ; integration of structure , propulsion , control system , and aerodynamic configuration ; performance analysis and prediction .","","","","","",""
"ASTE 280","Foundations of Astronautical Engineering","Coordinate systems and transformations . Spherical trigonometry . Orientation angles . Spacecraft orbits and orbital maneuvers . Introduction to rocket propulsion , spacecraft attitude dynamics and control , and space environment . ","MATH 226;PHYS 152","","","","",""
"ITP 168","ITP 168 Introduction to MATLAB","Fundamentals of MATLAB : a high-performance numeric computation and visualization environment . Overview of linear algebra and matrix manipulation ; using 2-D and 3-D plotting routines ; programming in MATLAB ; basic numerical analysis .","","MATH 118;MATH 125","","","",""
"AME 404","Computational Solutions to Engineering Problems","Mathematical aspects of the solutions to typical advanced mechanical engineering problems . Modeling , simulation , computational aspects , computer solutions , and computational tools .","","","","","",""
"AME 459","Flight Mechanics","Applications of basic aerodynamics to aircraft and missile performance , power and thrust , stability and control , compressibility effects .","","AME 309","","","",""
"AME 460","Aerodynamic Theory","Basic relations describing the inviscid flow field about bodies and wings moving at subsonic and supersonic speeds . ","AME 309","","","","",""
"AME 443","AME 443 Control Systems Laboratory","Vibration measurement and analysis ; simulation , design , and experimental verification of mechanical control systems ; identification of system parameters , implementation of controllers , verification of closed-loop performance via experimentation and stimulation . ","AME 420;AME 451;EE 482","","","","AME 442",""
"AME 457","Engineering Fluid Dynamics","Laminar and turbulent boundary layer flow with and without heat transfer ; boundary layer separation , stability , transition and control ; introduction to compressible fluid flow . ","AME 310;AME 309;CE 309","","","","",""
"AME 485","AME 485 Aerospace Structures I","Design , qualification , and workmanship verification of aerospace structures . Analysis for assessing buckling and crippling , welds , and analysis of connections and thin-walled structures . ","AME 204;AME 231;MASC 310","","","","AME 353",""
"CE 358","Theory of Structures I","Deformations and deflections of elastic systems ; statically indeterminate beams , arches , and frames ; secondary stresses . ","CE 225","","","","","csr00049/0.313;csr00090/0.313;csr00158/0.313;csr00217/0.313;csr00547/0.313;csr01526/0.313;csr01790/0.313;csr02181/0.313;csr02422/0.313"
"AME 403","Stress Analysis","Theories of failure , shear center , unsymmetrical bending , curved beams , torsion of non-circular sections ; cylinders , rotating discs , thermal stresses , inelastic strains , energy methods . ","AME 204","","","","",""
"AME 420","Engineering Vibrations I","Theory of free and forced vibrations with and without damping ; systems of single and multiple degrees of freedom ; iteration ; methods ; vibration isolation ; instrumentation . ","MATH 245","","","","",""
"AME 408","Computer-Aided Design of Mechanical Systems","Design of mechanical systems using advanced graphics techniques ; computer-aided drafting , design optimization , elements of computer graphics , solids modeling ; introduction to computer-aided manufacturing . ","AME 204;CE 225;AME 308","","","","",""
"CE 458","CE 458 Theory of Structures II","Matrix algebra ; stiffness method ; force method ; computer analysis of planar structures . ","CE 108;CE 358","","","","",""
"AME 453","Engineering Dynamics","Principles of dynamics applied to mechanical and aerospace problems . Introduction to gyroscopic motion and rigid body dynamics . ","MATH 245","","","","",""
"ASTE 480","Spacecraft Dynamics","Two-body motion , rigid-body motion , attitude dynamics and maneuvers , spacecraft stabilization : gravity gradient , reaction wheels , magnetic torques , thruster attitude control . ","","","","","",""
"AME 430","Thermal Systems Design","Design methodology for thermal systems ; boilers , condensers , air conditioning , power generation , air pollution control , combustion and alternative fuels . ","AME 331;AME 312","","","","",""
"ASTE 421","ASTE 421x Space Mission Design","Space systems engineering process : requirements definition ; trade studies ; system integration ; technical reviews ; cost and schedule development ; case studies ; ethics . Capstone design experience . ","ASTE 330","","","","",""
"AME 312","Engineering Thermodynamics II","Application of thermodynamic principles to fluid flow , power cycles , and refrigeration . ","AME 310","","","","",""
"PHYS 316","Thermodynamics and Statistical Mechanics","First , second , and third thermodynamic laws ; thermodynamic potentials , applications ; distribution laws , kinetic theory , transport phenomena , specific heats . ","PHYS 152;PHYS 161;MATH 226","","","","",""
"AME 331","Heat Transfer","General principles underlying heat transfer by conduction , convection , and radiation ; steady and transient conditions ; heat exchangers . ","AME 310","","","AME 309;CE 309","",""
"AMST 205","AMST 205g Introduction to American Popular Culture","Examines the relation between U .S . national culture , race , and popular culture .","","","","","",""
"AMST 206","AMST 206mg The Politics and Culture of the 1960s","Examines political and cultural change in the United States during the decade of the 1960s .","","","","","",""
"AMST 285","AMST 285gm African American Popular Culture","Examines history of popular cultural forms such as literature , music , dance , theatre , and visual arts produced by and about African Americans .","","","","","",""
"AMST 301","AMST 301gp America , the Frontier , and the New West","Introduction to the interdisciplinary study of American political , cultural , and social life with a particular emphasis on the Western United States as a region .","","HIST 100;ENGL 263","","","",""
"COLT 365","Literature and Popular Culture","Study of mass-reproduced verbal and visual art forms , such as graphic novels , comics , animation , popular music , video , graffiti , advertising .","","","","","",""
"COMM 384","Interpreting Popular Culture","Popular culture as an indicator of cultural values , a producer and reflection of cultural meaning , and a means of communication ; theory and case studies .","","","","","",""
"ENGL 392","Visual and Popular Culture","Course in the theory and practices of “popular culture ,” highlighting modern and contemporary culture , film , video and popular music , as well as narrative forms .","","","","","",""
"HIST 380","HIST 380 American Popular Culture","Rise of popular culture (sports , amusement parks , movies , and television) and its significance in American society from mid 19th century to the present .","","","","","HIST 255",""
"AMST 357","AMST 357m Latino Social Movements","Focuses on the political experience of Latinos in the U .S . Comparative analysis of their political experiences and perspectives , their histories of identity formation , and their political organizations .","","","","","",""
