"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"CNTV 440","The Business of the Entertainment Industry : Motion Pictures , Television , Animation , Video Games , and Interactive Entertainment","An in-depth analysis of the history , evolution , and current state of the motion picture , television , animation , video game , and interactive entertainment industries .","","","","","",""
"CNTV 427","The Art and Commerce of Independent Film","A comprehensive analysis of the development-to-release life cycle of independently produced films .","","","","","",""
"CTPR 386","Art and Industry of the Theatrical Film","Detailed analysis of one theatrical film from conception through critical reception to develop an understanding of motion pictures as art , craft , and industry .","","","","","",""
"CNTV 457","The Entertainment Entrepreneur : Getting Your First Project Made","The practical aspects of entrepreneurial producing in the entertainment industry . Identifying and understanding the pitfalls and benefits of creating one’s own projects .","","","","","",""
"CNTV 474","CNTV 474 Digital DNA : Media Redefined","A practical , hands-on learning experience in creating media content and turning that content into a myriad of viable businesses .","","","","","",""
"CTPR 425","Production Planning","Theory , discussion , and practical application of production planning during preproduction and production of a film .","","","","","",""
"BAEP 454","Venture Initiation : Launching and Scaling Your Startup","Learn to build a startup from concept to reality . Focus on real-world entrepreneurial action and execution . ","BAEP 452","","","","",""
"BAEP 465","Digital Playbook for Entrepreneurs : Creating a Tech Startup","Learn to use digital tools and technologies , such as social media , mobile , cloud computing , and e-commerce , to start and grow entrepreneurial ventures .","","","","","",""
"BAEP 495","Practicum in Business Issues (Internship)","Combined classroom discussion and field application of business theories and practices ; part-time internship employment . Project to be jointly defined by student , employer and professor .","","","","","",""
"BAEP 499","BAEP 499 Special Topics","Current developments in the field of entrepreneurship : topics to be selected each semester .","","","","","",""
"BISC 419","BISC 419 L Environmental Microbiology","Qualitative and quantitative appraisal of microbial activities in pure and contaminated environments ; microbial community and its development ; interspecific relationships ; effects of microorganisms on their surroundings . ","BISC 330;BISC 300","","","","",""
"CE 443","CE 443 Environmental Chemistry","Chemistry of water , gas , liquid and solid wastes . Chemical principles applicable to environmental engineering . ","CHEM 105;CHEM 115","","","","",""
"ENE 201","ENE 201 Introduction to Applied Environmental Science and Engineering","Gateway to BS in Civil Engineering (Environmental Engineering) , BS , Environmental Engineering , and Minor in Environmental Engineering . Fundamental concepts of environmental science and engineering . Pollution control and remediation for air , water and soil . Pollution remediation for developing countries .","","","","","",""
"ENE 495","Seminars in Environmental Engineering","Hazardous waste management , biodegradation of environmental pollutants , groundwater problems , waste minimization , energy resources , and air pollution control .","","","","","",""
"HIST 271","HIST 271g Telling Native American Stories","An exploration of the history of Native America peoples and the ways they understood and explained the changes in their lives from 1492 to 1840 .","","","","","",""
"ANTH 332","ANTH 332g Anthropology and Narrative Medicine","Exploration of illness , disability , and healing narratives , how narratives are culturally shaped , and their significance for western biomedical practices .","","","","","",""
"ANTH 409","ANTH 409 Indigenous Languages in the Contemporary World","Examination of indigenous languages in Northern Ireland , with a focus on the sociopolitical dimension of revitalization movement .","","","","","",""
"GERM 346","German Folklore and Popular Culture","Survey and analysis of folklore and cultural phenomena , including tales , legends , and myths ; folk and popular music ; beliefs and customs . In English .","","","","","",""
"MDA 330","The Armenian Heritage : History , Arts , and Culture","A multidisciplinary exploration of the Armenian cultural heritage through the ages — folklore , traditions , religious practices , literature , architecture , painting , sculpture , music , theatre , film and dance .","","","","","",""
"PSYC 165","PSYC 165Lg Drugs , Behavior and Society","IrregularAn integrative systems perspective of drugs ; including their historical , economic , and cultural importance , psychopharmacology , addiction , relationship to crime , and therapeutic use in treating psychological disorders .","","","","","",""
"SOCI 142","SOCI 142gm Diversity and Racial Conflict","Introduction to the causes and effects of contemporary race relations in a diverse U .S . society . Exploration of racial conflict at the personal and institutional levels .","","","","","",""
"LAW 404","Law and Psychology : Examining the Criminal Justice Process","Examination of the capacity of the criminal justice process to produce accurate verdicts . Application of psychological research on witnesses , detectives , suspects , judges and jurors .","","PSYC 100","","","",""
"PSYC 363","PSYC 363 Criminal Behavior","Genetic , biological , psychological , and sociological characteristics of those who evidence criminal behavior ; theoretical formulations to be reviewed and appraised . ","PSYC 100","","","","PSYC 463",""
"PSYC 365","PSYC 365 Introduction to Forensic Psychology","Survey of current topics , technologies and techniques . Students acquire a basic understanding of how forensic psychologists contribute their unique expertise to the American legal system . ","PSYC 100","","","","PSYC 465",""
"LAW 402","Psychology and Law","Explores issues of responsibility and credibility . Intentional and unintentional behavior . Clinical biases . Topics include witness credibility , confessions , cults , hostages , battered persons , and repressed memories .","","","","","","udc00164/0.309"
"PPD 340","PPD 340 The American System of Justice","IrregularIntroduction to the system of justice administration : components — police services , judiciary , corrections ; interrelationships and issues ; management strategies for change .","","","","","PPMT 340",""
"POSC 432","Politics of Local Criminal Justice","Roles and behavior of major legal and political participants in the criminal justice system including the police , the legal profession , judges , and the public .","","","","","",""
"IML 575","IML 575 Graduate Media Arts Research Lab","A hands-on mentored graduate research lab experience within the context of media art and in association with a real-world project . Open only to graduate students .","","","","","",""
"CTWR 405","CTWR 405 Storytelling for Virtual and Augmented Reality","Storytelling for the 360-degree visual arena . Focus on immersive worlds , challenges of virtual and augmented reality , and active audience engagement . ","CTAN 436;CTAN 536;CTWR 100;CTWR 412;CTWR 413;CTWR 505;CTWR 513;CTWR 518","","","","","csr02074/0.399;csr00408/0.383;csr01907/0.383;udc00183/0.3755;csr00716/0.3475;csr00971/0.3475;csr01921/0.337;csr00409/0.3295;csr01908/0.3295;udc00207/0.311"
"IML 490","IML 490x Directed Research","Individual research and readings . ","IML 104;IML 201","","","","","csr01115/0.3215"
"CTIN 332","Games for Animation","Contemporary examples and theories of the crossover between animation and video game practices .","","","","","","csr01995/0.347;csr01995/0.347"
"MTEC 277","MTEC 277x Introduction to Music Technology","A survey of the technology used to create , prepare , perform , and distribute music , with an emphasis on recording , MIDI , music production , mastering and Internet technologies .","","","","","MUIN 277","csr01500/0.4905;csr00992/0.4885;csr00996/0.4545;csr00227/0.3275"
"CTIN 444","Audio Expression","Foundational aesthetic principles and creative technologies for game audio . Processing , mixing , and controlling sound for games for expressive effect .","","CTIN 406","","","",""
"CTPR 473","CTPR 473 Spotting Music for Cinema","A real world approach to spotting music for film : why film music exists and the many ways it is used in storytelling . For filmmakers as well as composers .","","","","","",""
